colOrder,uniqueVar,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
12,data dengue coordinate malaysia 2017::epid.minggu..tkh.daftar.,data dengue coordinate malaysia 2017,,Confirmed cases week,week of confirmed cases,Participant,?,?,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
3,data dengue coordinate malaysia 2018::mukim.zon..alamat.semasa.,data dengue coordinate malaysia 2018,,Subdistrict in Malaysia,subdistrict,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
4,data dengue coordinate malaysia 2018::daerah..alamat.semasa.,data dengue coordinate malaysia 2018,,District in Malaysia,district,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
7,data dengue coordinate malaysia 2018::latitud..iso.,data dengue coordinate malaysia 2018,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,latitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
8,data dengue coordinate malaysia 2018::lngitud..iso.,data dengue coordinate malaysia 2018,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,longitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
9,data dengue coordinate malaysia 2018::tarikh.daftar,data dengue coordinate malaysia 2018,,Registration date of confirmed cases,registration date of confirmed cases,Participant,?,?,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,yes,,,,,,
10,data dengue coordinate malaysia 2018::negeri..alamat.semasa.,data dengue coordinate malaysia 2018,,State in Malaysia,state,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
11,data dengue coordinate malaysia 2018::epid.tahun..tkh.daftar.,data dengue coordinate malaysia 2018,,Confirmed cases year,year of confirmed cases,Participant,?,?,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
12,data dengue coordinate malaysia 2018::epid.minggu..tkh.daftar.,data dengue coordinate malaysia 2018,,Confirmed cases week,week of confirmed cases,Participant,?,?,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
3,data dengue coordinate malaysia 2019::mukim.zon..alamat.semasa.,data dengue coordinate malaysia 2019,,Subdistrict in Malaysia,subdistrict,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
4,data dengue coordinate malaysia 2019::daerah..alamat.semasa.,data dengue coordinate malaysia 2019,,District in Malaysia,district,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
7,data dengue coordinate malaysia 2019::latitud..iso.,data dengue coordinate malaysia 2019,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,latitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
8,data dengue coordinate malaysia 2019::lngitud..iso.,data dengue coordinate malaysia 2019,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,longitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
9,data dengue coordinate malaysia 2019::tarikh.daftar,data dengue coordinate malaysia 2019,,Registration date of confirmed cases,registration date of confirmed cases,Participant,?,?,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,yes,,,,,,
10,data dengue coordinate malaysia 2019::negeri..alamat.semasa.,data dengue coordinate malaysia 2019,,State in Malaysia,state,Household,http://purl.obolibrary.org/obo/EUPATH_0026002,Geographic location,,,variable,,yes,,Registration date of confirmed cases,SINKINS,,,,,,,,,
11,data dengue coordinate malaysia 2019::epid.tahun..tkh.daftar.,data dengue coordinate malaysia 2019,,Confirmed cases year,year of confirmed cases,Participant,?,?,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
12,data dengue coordinate malaysia 2019::epid.minggu..tkh.daftar.,data dengue coordinate malaysia 2019,,Confirmed cases week,week of confirmed cases,Participant,?,?,,,variable,,yes,yes,Registration date of confirmed cases,SINKINS,,,,,,,,,
,geohash1,,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,,,,,,,"variable, derived",,,,,,,,,yes,,,,,
,geohash2,,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,,,,,,,"variable, derived",,,,,,,,,yes,,,,,
,geohash3,,http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,,,,,,,"variable, derived",,,,,,,,,yes,,,,,
,geohash4,,http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,,,,,,,"variable, derived",,,,,,,,,yes,,,,,
,geohash5,,http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,,,,,,,"variable, derived",,,,,,,,,yes,,,,,
,geohash6,,http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,,,,,,,"variable, derived",,,,,,,,,yes,,,,,
