IRI,termType
EUPATH_0021002,multifilter
EUPATH_0000058,"variable, derived"
EUPATH_0023015,"variable, derived"
EUPATH_0023014,"variable, derived"
EUPATH_0023016,"variable, derived"
OBI_0001619,"variable, derived"
EUPATH_0023038,"variable, derived"
