IRI,label,parentLabel,parentIRI
http://purl.obolibrary.org/obo/VEuGEO_0029616,Ajeromi/Ifelodun,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0037333,Akhtubinskiy rayon,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0029742,Akinyele,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0006083,Akpro-Missérété,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0038804,Aksayskiy rayon,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018825,Akwapim North,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039709,Al Fasher,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039683,Al Faw (Sudan),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039684,Al Fushqa,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039685,Al Gadaref,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039686,Al Galabat,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0049392,Al Garrahi,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039753,Al Gutaina,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039754,Al Jabalian,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039676,Al Kamlin,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039677,Al Mahagil,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0049398,Al Marawi'ah,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0002985,Al Quassim,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0039687,Al Rahd,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0017596,Al-Qusayr (Egypt),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0017765,Al-Wahat al-Kharijah,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0018294,Alaba,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0045141,Alachua,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0032151,Alaminos,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0025957,Alaotra-Mangoro,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0048289,Alberto Adriani,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0048187,Alberto Arvelo Torrealba,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0035885,Albesti (Ialomița),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0037062,Albesti (Vaslui),location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0030427,Albrandswaard,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0033943,Alcácer do Sal,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0024699,Aldai,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0024729,Alego Usonga,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0033159,Aleksandrów,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0022397,Alessandria,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
http://purl.obolibrary.org/obo/VEuGEO_0005389,Alexandrina,location of specimen collection,http://purl.obolibrary.org/obo/EUPATH_0000542
