Isolate location	Isolate location category	Mapped Ontology Term IRI	Mapped Ontology Term Label
China: Wenchuan, Sichuan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
Ethiopia: Wollo	Ethiopia	http://purl.obolibrary.org/obo/GAZ_00000567	Ethiopia
India: Aamala, Thiruvananthapuram District, Kerala	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
India: Kombidi, Thiruvananthapuram District, Kerala	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
India: Meleamala, Thiruvananthapuram District, Kerala	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
India: Thazheamala, Thiruvananthapuram District, Kerala	India	http://purl.obolibrary.org/obo/GAZ_00002839	India
Iran: Alborz Province, Savodjbolagh	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Alborz Province, Savodjbolagh County	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Alborz province, Savodjbolagh county, Arab-Abad village	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Ardebil province, North-West of Iran	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Birjand	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Esfarayen	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Esfarayen district	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Farashband	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Ilam province	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Ilam province, Abdanan	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Ilam province, Dasht-e-Abbas	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Ilam province, Dehloran	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Ilam province, Mehran	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Ilam province, Moosian	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Isfahan Province, Kashan city	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Israel: Maale Adumim	Israel	http://purl.obolibrary.org/obo/GAZ_00002476	Israel
Mexico: Sonora	Mexico	http://purl.obolibrary.org/obo/GAZ_00002852	Mexico
Mozambique: Gorongosa	Mozambique	http://purl.obolibrary.org/obo/GAZ_00001100	Mozambique
Taiwan: Hsinchu	Taiwan	http://purl.obolibrary.org/obo/GAZ_00004601	Taiwan
Thailand: Songkhla	Thailand	http://purl.obolibrary.org/obo/GAZ_00003744	Thailand
Turkey: Adana	Turkey	http://purl.obolibrary.org/obo/GAZ_00000558	Turkey
USA: Captain Cook, HI	United States	http://purl.obolibrary.org/obo/GAZ_00002459	United States of America
USA: Davis, CA	United States	http://purl.obolibrary.org/obo/GAZ_00002459	United States of America
USA: Starr Co., TX	United States	http://purl.obolibrary.org/obo/GAZ_00002459	United States of America
USA: Stony Brook, NY	United States	http://purl.obolibrary.org/obo/GAZ_00002459	United States of America
USA: Waimanu, HI	United States	http://purl.obolibrary.org/obo/GAZ_00002459	United States of America
USA: Winters, CA	United States	http://purl.obolibrary.org/obo/GAZ_00002459	United States of America
Turkey: Afyon	Turkey	http://purl.obolibrary.org/obo/GAZ_00000558	Turkey
Turkey: Kutahya	Turkey	http://purl.obolibrary.org/obo/GAZ_00000558	Turkey
Turkey: Mersin	Turkey	http://purl.obolibrary.org/obo/GAZ_00000558	Turkey
Turkey: Nigde	Turkey	http://purl.obolibrary.org/obo/GAZ_00000558	Turkey
USA	United States	http://purl.obolibrary.org/obo/GAZ_00002459	United States of America
Taiwan: R.O.C.	Taiwan	http://purl.obolibrary.org/obo/GAZ_00004601	Taiwan
Belarus: Naroch Lake	Belarus	http://purl.obolibrary.org/obo/GAZ_00006886	Belarus
Brazil: Belem, Para, long term lab isolate Lygia R. Correa	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
Brazil: CMO, Ceara-Mirim, Rio Grande del Norte, long term lab isolate Lygia R. Correa	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
Brazil: Corrego de Cafe	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
Brazil: Dionisio, Minas Gerais	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
Brazil: Recife, Pernambuco	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
Brazil: Sabara, Minas Gerais	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
Brazil: Sao Jose dos Campos, Sao Paulo state	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
Brazil: Sumidouro, Rio de Janeiro	Brazil	http://purl.obolibrary.org/obo/GAZ_00002828	Brazil
Burundi: Maintained in Natural History Museum, London	Burundi	http://purl.obolibrary.org/obo/GAZ_00001090	Burundi
Cambodia: Lumphat, Srepok River	Cambodia	http://purl.obolibrary.org/obo/GAZ_00006888	Cambodia
Cambodia: Sadao, Stung-Treng Province, Xe Kong River	Cambodia	http://purl.obolibrary.org/obo/GAZ_00006888	Cambodia
Cambodia: Sadao, Xe Kong River, Stung-Treng Province	Cambodia	http://purl.obolibrary.org/obo/GAZ_00006888	Cambodia
Cameroon:Edea	Cameroon	http://purl.obolibrary.org/obo/GAZ_00001093	Cameroon
China: Anhui Guichi	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Anhui Province, Guichi County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Anhui Province, Tongling County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Anhui Province, Zongyang County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Anhui, Guichi	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Anhuil, Guichi	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Changsha, Hunan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Dali, Yunnan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Eryuan, Yunnan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Guichi, Anhui	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei Province, Gong'an County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei Province, Honghu City	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
