Isolate location	Isolate location category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Sao Tome and Principe:San Antonio	Sao Tome and Principe	http://purl.obolibrary.org/obo/GAZ_00006927	Sao Tome and Principe
Senegal: Richard Toll, Ndiangue	Senegal	http://purl.obolibrary.org/obo/GAZ_00000913	Senegal
Senegal: Richard Toll, Ndombo	Senegal	http://purl.obolibrary.org/obo/GAZ_00000913	Senegal
Senegal: Upper Senegal River Basin	Senegal	http://purl.obolibrary.org/obo/GAZ_00000913	Senegal
Senegal:Mbodiene	Senegal	http://purl.obolibrary.org/obo/GAZ_00000913	Senegal
Senegal:Sintiou Malem	Senegal	http://purl.obolibrary.org/obo/GAZ_00000913	Senegal
Senegal:St Louis	Senegal	http://purl.obolibrary.org/obo/GAZ_00000913	Senegal
Tanzania: Kaseni-Shuleni, Ukerewe Is, Lake Victoria	Tanzania	http://purl.obolibrary.org/obo/GAZ_00001103	Tanzania
Tanzania: Kimamba, Darangani, Ilula Town	Tanzania	http://purl.obolibrary.org/obo/GAZ_00001103	Tanzania
Tanzania: Lake Victoria	Tanzania	http://purl.obolibrary.org/obo/GAZ_00001103	Tanzania
Tanzania: Mafia Island	Tanzania	http://purl.obolibrary.org/obo/GAZ_00001103	Tanzania
Tanzania: Mwanza, Mirongo stream	Tanzania	http://purl.obolibrary.org/obo/GAZ_00001103	Tanzania
Tanzania: Nansio, Ukerewe Is, Lake Victoria	Tanzania	http://purl.obolibrary.org/obo/GAZ_00001103	Tanzania
Tanzania: Tunduma, Safisha stream	Tanzania	http://purl.obolibrary.org/obo/GAZ_00001103	Tanzania
Tanzania: Zanzibar	Tanzania	http://purl.obolibrary.org/obo/GAZ_00001103	Tanzania
Thailand: Chiang-Mai	Thailand	http://purl.obolibrary.org/obo/GAZ_00003744	Thailand
Thailand: Khon-Kaen	Thailand	http://purl.obolibrary.org/obo/GAZ_00003744	Thailand
Thailand: Phitsanulok	Thailand	http://purl.obolibrary.org/obo/GAZ_00003744	Thailand
Uganda: Kimi Island	Uganda	http://purl.obolibrary.org/obo/GAZ_00001102	Uganda
Uganda: Kimi Island, Lake Victoria	Uganda	http://purl.obolibrary.org/obo/GAZ_00001102	Uganda
Uganda: Lake Albert	Uganda	http://purl.obolibrary.org/obo/GAZ_00001102	Uganda
Uganda: Ngamba Island, Lake Victoria	Uganda	http://purl.obolibrary.org/obo/GAZ_00001102	Uganda
