Isolate host	Isolate host category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Rhinolophus landeri	bat	http://purl.obolibrary.org/obo/NCBITaxon_519039	Rhinolophus landeri
Rhinolophus sinicus	bat	http://purl.obolibrary.org/obo/NCBITaxon_89399	Rhinolophus sinicus
Rousettus aegyptiacus	bat	http://purl.obolibrary.org/obo/NCBITaxon_9407	Rousettus aegyptiacus
Rousettus leschenaultii	bat	http://purl.obolibrary.org/obo/NCBITaxon_9408	Rousettus leschenaultii
Sturnira lilium	bat	http://purl.obolibrary.org/obo/NCBITaxon_27660	Sturnira lilium
Tadarida sp.	bat	http://purl.obolibrary.org/obo/NCBITaxon_9437	Tadarida
Thyroptera tricolor	bat	http://purl.obolibrary.org/obo/NCBITaxon_124759	Thyroptera tricolor
Tonatia bidens	bat	http://purl.obolibrary.org/obo/NCBITaxon_9426	Tonatia bidens
Trachops cirrhosus	bat	http://purl.obolibrary.org/obo/NCBITaxon_148073	Trachops cirrhosus
Uroderma bilobatum	bat	http://purl.obolibrary.org/obo/NCBITaxon_27663	Uroderma bilobatum
Ailuropoda melanoleuca	bear	http://purl.obolibrary.org/obo/NCBITaxon_9646	Ailuropoda melanoleuca
Bear	bear		
Bear, Alaska Black 	bear		
Bear, Black	bear		
Bear, Brown	bear		
bear, chronic	bear		
Black Bear	bear		
black bear	bear		
giant panda	bear	http://purl.obolibrary.org/obo/NCBITaxon_212257	Panda
grizzly bear	bear	http://purl.obolibrary.org/obo/NCBITaxon_9644	Ursus arctos
Ursus arctos (brown bear)	bear	http://purl.obolibrary.org/obo/NCBITaxon_9644	Ursus arctos
Ursus arctos yesoensis	bear	http://purl.obolibrary.org/obo/NCBITaxon_9644	Ursus arctos
Ursus thibetanus japonicus	bear	http://purl.obolibrary.org/obo/NCBITaxon_9642	Ursus thibetanus
Beaver	beaver		
Castor canadensis	beaver	http://purl.obolibrary.org/obo/NCBITaxon_51338	Castor canadensis
Apis cerana	bee	http://purl.obolibrary.org/obo/NCBITaxon_7461	Apis cerana
Apis dorsata	bee	http://purl.obolibrary.org/obo/NCBITaxon_7462	Apis dorsata
Apis florea	bee	http://purl.obolibrary.org/obo/NCBITaxon_7463	Apis florea
Apis koschevnikovi	bee	http://purl.obolibrary.org/obo/NCBITaxon_7468	Apis koschevnikovi
Apis mellifera	bee	http://purl.obolibrary.org/obo/NCBITaxon_7460	Apis mellifera
Apis mellifera (honey bee)	bee	http://purl.obolibrary.org/obo/NCBITaxon_7460	Apis mellifera
Apis mellifera | Merops apiaster	bee	http://purl.obolibrary.org/obo/NCBITaxon_7460	Apis mellifera
Apis mellifera iberiensis	bee	http://purl.obolibrary.org/obo/NCBITaxon_7460	Apis mellifera
Bombus hortorum	bee	http://purl.obolibrary.org/obo/NCBITaxon_85660	Bombus hortorum
Bombus sichellii	bee		
Bombus trifasciatus	bee	http://purl.obolibrary.org/obo/NCBITaxon_130714	Bombus trifasciatus
Psithyrus rupestris	bee	http://purl.obolibrary.org/obo/NCBITaxon_28653	Psithyrus
Acalymma vittatum	beetle	http://purl.obolibrary.org/obo/NCBITaxon_133117	Acalymma vittatum
