Isolate host	Isolate host category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Drosophila melanogaster	fly	http://purl.obolibrary.org/obo/NCBITaxon_7227	Drosophila melanogaster
Drosophila neotestacea	fly	http://purl.obolibrary.org/obo/NCBITaxon_38839	Drosophila neotestacea
Drosophila obscura	fly	http://purl.obolibrary.org/obo/NCBITaxon_7282	Drosophila obscura
Drosophila sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_7242	Drosophila sp.
Drosophila takahashii	fly	http://purl.obolibrary.org/obo/NCBITaxon_29030	Drosophila takahashii
Drosophila tristis	fly	http://purl.obolibrary.org/obo/NCBITaxon_7284	Drosophila tristis
Drosophilidae sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_7214	Drosophilidae
Evandromyia infraspinosa	fly		
Fannia canicularis	fly	http://purl.obolibrary.org/obo/NCBITaxon_307205	Fannia canicularis
Glossina morsitans morsitans	fly	http://purl.obolibrary.org/obo/NCBITaxon_7394	Glossina morsitans
Glossina morsitans ssp	fly	http://purl.obolibrary.org/obo/NCBITaxon_7394	Glossina morsitans
Glossina morsitans submorsitans	fly	http://purl.obolibrary.org/obo/NCBITaxon_7394	Glossina morsitans
Glossina pallidipes	fly	http://purl.obolibrary.org/obo/NCBITaxon_7398	Glossina pallidipes
Glossina palpalis	fly	http://purl.obolibrary.org/obo/NCBITaxon_7397	Glossina palpalis
Glossina palpalis gambiensis	fly	http://purl.obolibrary.org/obo/NCBITaxon_7397	Glossina palpalis
Glossina swynnertoni	fly	http://purl.obolibrary.org/obo/NCBITaxon_66280	Glossina swynnertoni
Hippoboscid fly (Ornithomyia avicularia)	fly	http://purl.obolibrary.org/obo/NCBITaxon_170916	Ornithomya avicularia
Iranian sandfly	fly		
Lucilia caesar	fly	http://purl.obolibrary.org/obo/NCBITaxon_65466	Lucilia caesar
Lucilia cuprina	fly	http://purl.obolibrary.org/obo/NCBITaxon_7375	Lucilia cuprina
Lucilia eximia	fly	http://purl.obolibrary.org/obo/NCBITaxon_115432	Lucilia eximia
Lucilia sp.	fly		
Lutzomyia almerioi	fly	http://purl.obolibrary.org/obo/NCBITaxon_7199	Lutzomyia
Lutzomyia caballeroi	fly	http://purl.obolibrary.org/obo/NCBITaxon_252634	Lutzomyia caballeroi
Lutzomyia gomezi	fly	http://purl.obolibrary.org/obo/NCBITaxon_151984	Lutzomyia gomezi
Lutzomyia longipalpis	fly	http://purl.obolibrary.org/obo/NCBITaxon_7200	Lutzomyia longipalpis
Lutzomyia peruensis	fly	http://purl.obolibrary.org/obo/NCBITaxon_252622	Lutzomyia peruensis
Lutzomyia tuberculata	fly	http://purl.obolibrary.org/obo/NCBITaxon_252625	Lutzomyia tuberculata
Megaselia scalaris	fly	http://purl.obolibrary.org/obo/NCBITaxon_36166	Megaselia scalaris
Megaselia scalaris ATCC 30209	fly	http://purl.obolibrary.org/obo/NCBITaxon_36166	Megaselia scalaris
Melophagus ovinus	fly	http://purl.obolibrary.org/obo/NCBITaxon_452749	Melophagus ovinus
Microdrosophila sp.	fly		
Micropterna sequax	fly		
Musca domestica	fly	http://purl.obolibrary.org/obo/NCBITaxon_7370	Musca domestica
Musca domestica ATCC 30260	fly	http://purl.obolibrary.org/obo/NCBITaxon_7370	Musca domestica
Musca sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_30058	Musca sp.
Muscina stabulans	fly	http://purl.obolibrary.org/obo/NCBITaxon_57893	Muscina stabulans
Muscina stabulans ATCC 30708	fly	http://purl.obolibrary.org/obo/NCBITaxon_57893	Muscina stabulans
Onesia austriaca	fly	http://purl.obolibrary.org/obo/NCBITaxon_145449	Onesia
Ornidia obesa	fly		
Ornithomyia avicularia	fly	http://purl.obolibrary.org/obo/NCBITaxon_170916	Ornithomya avicularia
Ornithomyia avicularia (hippoboscid fly)	fly	http://purl.obolibrary.org/obo/NCBITaxon_170916	Ornithomya avicularia
Panorpa communis	fly	http://purl.obolibrary.org/obo/NCBITaxon_52816	Panorpa communis
Peckia ingens	fly	http://purl.obolibrary.org/obo/NCBITaxon_1225731	Peckia ingens
Phaenica sericata TCPD,USP	fly		
Phlebotomus	fly	http://purl.obolibrary.org/obo/NCBITaxon_13203	Phlebotomus
Phlebotomus alexandri Paraphlebotomus	fly	http://purl.obolibrary.org/obo/NCBITaxon_94477	Phlebotomus alexandri
Phlebotomus argentipes	fly	http://purl.obolibrary.org/obo/NCBITaxon_94469	Phlebotomus argentipes
Phlebotomus balcanicus	fly	http://purl.obolibrary.org/obo/NCBITaxon_1190710	Phlebotomus balcanicus
Phlebotomus kandelakii	fly	http://purl.obolibrary.org/obo/NCBITaxon_1109342	Phlebotomus kandelakii
Phlebotomus kazeruni, phlebotomine sand fly	fly	http://purl.obolibrary.org/obo/NCBITaxon_132721	Phlebotomus kazeruni
Phlebotomus longicuspis	fly	http://purl.obolibrary.org/obo/NCBITaxon_99785	Phlebotomus longicuspis
Phlebotomus martini	fly	http://purl.obolibrary.org/obo/NCBITaxon_1204442	Phlebotomus martini
Phlebotomus neglectus Larroussius	fly	http://purl.obolibrary.org/obo/NCBITaxon_85758	Phlebotomus neglectus
Phlebotomus papatas Phlebotomusi	fly	http://purl.obolibrary.org/obo/NCBITaxon_13203	Phlebotomus
Phlebotomus papatasi	fly	http://purl.obolibrary.org/obo/NCBITaxon_29031	Phlebotomus papatasi
Phlebotomus papatasi Phlebotomus	fly	http://purl.obolibrary.org/obo/NCBITaxon_29031	Phlebotomus papatasi
Phlebotomus sergenti	fly	http://purl.obolibrary.org/obo/NCBITaxon_85759	Phlebotomus sergenti
Phlebotomus sergenti (sand fly)	fly	http://purl.obolibrary.org/obo/NCBITaxon_85759	Phlebotomus sergenti
Phlebotomus sergenti; female	fly	http://purl.obolibrary.org/obo/NCBITaxon_85759	Phlebotomus sergenti
Phlebotomus simici Adlerious	fly	http://purl.obolibrary.org/obo/NCBITaxon_94475	Phlebotomus simici
Phlebotomus tobbi	fly	http://purl.obolibrary.org/obo/NCBITaxon_33402	Phlebotomus tobbi
Phlebotomus tobbi Larroussius	fly	http://purl.obolibrary.org/obo/NCBITaxon_33402	Phlebotomus tobbi
Psathyromyia dendrophyla	fly	http://purl.obolibrary.org/obo/NCBITaxon_252609	Psathyromyia
Ravinia sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_128959	Ravinia
sand fly	fly		
sandfly	fly		
Sarcophaga sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_50708	Sarcophaga sp.
Sarcophagidae sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_7381	Sarcophagidae
Sarcophaginae sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_43916	Sarcophaginae
Scaptodrosophila hibisci	fly	http://purl.obolibrary.org/obo/NCBITaxon_184616	Scaptodrosophila hibisci
Sciopemyia servulolimai	fly	http://purl.obolibrary.org/obo/NCBITaxon_252655	Sciopemyia
Sciopemyia sordellii	fly	http://purl.obolibrary.org/obo/NCBITaxon_252655	Sciopemyia
Sciopemyia sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_252655	Sciopemyia
Sergentomyia gemmea	fly	http://purl.obolibrary.org/obo/NCBITaxon_59270	Sergentomyia
Sergentomyia hamoni	fly	http://purl.obolibrary.org/obo/NCBITaxon_59270	Sergentomyia
Sergentomyia ingrami	fly	http://purl.obolibrary.org/obo/NCBITaxon_59270	Sergentomyia
Sergentomyia ingrami isolate HLE-22	fly	http://purl.obolibrary.org/obo/NCBITaxon_59270	Sergentomyia
Sergentomyia ingrami isolate HLE-9	fly	http://purl.obolibrary.org/obo/NCBITaxon_59270	Sergentomyia
Sergentomyia ingrami isolate KLE-2	fly	http://purl.obolibrary.org/obo/NCBITaxon_59270	Sergentomyia
Sergentomyia minuta	fly	http://purl.obolibrary.org/obo/NCBITaxon_59271	Sergentomyia minuta
Sphaerocoris cf. testudogrisea	fly		
Sphaerocoris testudogrisea	fly		
Tabanus sp.	fly	http://purl.obolibrary.org/obo/NCBITaxon_7206	Tabanus
Tsetse Glossina palpalis gambiensis	fly	http://purl.obolibrary.org/obo/NCBITaxon_7397	Glossina palpalis
unknown fly species from f. Muscidae	fly		
Viannamyia tuberculata	fly	http://purl.obolibrary.org/obo/NCBITaxon_252625	Lutzomyia tuberculata
Wohlfahrtia nuba species group	fly	http://purl.obolibrary.org/obo/NCBITaxon_670615	Wohlfahrtia nuba
arctic fox	fox		
arctic foxes	fox		
crab-eating fox	fox		
Fox	fox		
Fox, Arctic	fox		
Fox, Red	fox		
Licaopex griseus	fox		
Urocyon cinereoargenteus	fox	http://purl.obolibrary.org/obo/NCBITaxon_55040	Urocyon cinereoargenteus
Vulpes lagopus	fox	http://purl.obolibrary.org/obo/NCBITaxon_494514	Vulpes lagopus
Vulpes lagopus; final host	fox	http://purl.obolibrary.org/obo/NCBITaxon_494514	Vulpes lagopus
Vulpes vulpes	fox	http://purl.obolibrary.org/obo/NCBITaxon_9627	Vulpes vulpes
Vulpes vulpes (red fox)	fox	http://purl.obolibrary.org/obo/NCBITaxon_9627	Vulpes vulpes
Vulpes vulpes; final host	fox	http://purl.obolibrary.org/obo/NCBITaxon_9627	Vulpes vulpes
Aplastodiscus leucopygius	frog	http://purl.obolibrary.org/obo/NCBITaxon_317334	Aplastodiscus leucopygius
bullfrog	frog		
Engystomops petersi	frog	http://purl.obolibrary.org/obo/NCBITaxon_76064	Engystomops petersi
Leptodactylus chaquensis	frog	http://purl.obolibrary.org/obo/NCBITaxon_326189	Leptodactylus chaquensis
Leptodactylus pentadactylus	frog	http://purl.obolibrary.org/obo/NCBITaxon_47564	Leptodactylus pentadactylus
Mixophyes flaeyi	frog	http://purl.obolibrary.org/obo/NCBITaxon_260895	Mixophyes
Pelophylax esculentus	frog	http://purl.obolibrary.org/obo/NCBITaxon_8401	Pelophylax esculentus
Phyllomedusa sp.	frog	http://purl.obolibrary.org/obo/NCBITaxon_8392	Phyllomedusa
Rana dalmatina	frog	http://purl.obolibrary.org/obo/NCBITaxon_51331	Rana dalmatina
Scinax hayii	frog	http://purl.obolibrary.org/obo/NCBITaxon_699827	Scinax hayii
Scinax ruber	frog	http://purl.obolibrary.org/obo/NCBITaxon_192740	Scinax ruber
Trachycephalus venulosus	frog	http://purl.obolibrary.org/obo/NCBITaxon_213803	Trachycephalus venulosus
Antilope cervicapra (Indian Blackbuck)	gazelle	http://purl.obolibrary.org/obo/NCBITaxon_59525	Antilope cervicapra
dama gazelle	gazelle	http://purl.obolibrary.org/obo/NCBITaxon_9933	Gazella
Gazella dama mhorr	gazelle	http://purl.obolibrary.org/obo/NCBITaxon_9933	Gazella
Gazella thomsoni	gazelle	http://purl.obolibrary.org/obo/NCBITaxon_9933	Gazella
Thomson's gazelle	gazelle	http://purl.obolibrary.org/obo/NCBITaxon_9933	Gazella
Eublepharis macularis	gecko	http://purl.obolibrary.org/obo/NCBITaxon_96736	Eublepharis
Eublepharis macularius	gecko	http://purl.obolibrary.org/obo/NCBITaxon_481883	Eublepharis macularius
gecko Tarentola annularis	gecko	http://purl.obolibrary.org/obo/NCBITaxon_728168	unclassified Gekkota
Gekko sp.	gecko	http://purl.obolibrary.org/obo/NCBITaxon_8565	Gekko
Hemitheconyx caudicinctus	gecko	http://purl.obolibrary.org/obo/NCBITaxon_96741	Hemitheconyx caudicinctus
Leopard gecko	gecko	http://purl.obolibrary.org/obo/NCBITaxon_481883	Eublepharis macularius
Tarentola annularis	gecko	http://purl.obolibrary.org/obo/NCBITaxon_178379	Tarentola annularis
Giraffa camelopardalis	giraffe	http://purl.obolibrary.org/obo/NCBITaxon_9894	Giraffa camelopardalis
Giraffa camelopardalis (giraffe)	giraffe	http://purl.obolibrary.org/obo/NCBITaxon_9894	Giraffa camelopardalis
Giraffa camelopardalis reticulata (reticulated giraffe)	giraffe	http://purl.obolibrary.org/obo/NCBITaxon_9894	Giraffa camelopardalis
Capra aegagrus hircus	goat	http://purl.obolibrary.org/obo/NCBITaxon_9925	Capra hircus
Capra hircus	goat	http://purl.obolibrary.org/obo/NCBITaxon_9925	Capra hircus
Capra hircus (Goat no. 11)	goat	http://purl.obolibrary.org/obo/NCBITaxon_9925	Capra hircus
Capra hircus (goat)	goat	http://purl.obolibrary.org/obo/NCBITaxon_9925	Capra hircus
Capra ibex	goat	http://purl.obolibrary.org/obo/NCBITaxon_72542	Capra ibex
Capra ibex (Alpine ibex)	goat	http://purl.obolibrary.org/obo/NCBITaxon_72542	Capra ibex
Capricornis crispus	goat	http://purl.obolibrary.org/obo/NCBITaxon_9966	Capricornis crispus
cashmere goat	goat		
Goat	goat		
goat breed Black Bengal	goat		
goat kid	goat		
goat with besnoitiosis	goat		
goat, chronic	goat		
Iranian native goat	goat		
mountain goat	goat		
naturally infected goat	goat		
Alopochen aegyptiacus	goose	http://purl.obolibrary.org/obo/NCBITaxon_30382	Alopochen aegyptiacus
Anser albifrons	goose	http://purl.obolibrary.org/obo/NCBITaxon_50365	Anser albifrons
Anser anser	goose	http://purl.obolibrary.org/obo/NCBITaxon_8843	Anser anser
Anser anser f. domestica	goose	http://purl.obolibrary.org/obo/NCBITaxon_8843	Anser anser
Branta canadensis	goose	http://purl.obolibrary.org/obo/NCBITaxon_8853	Branta canadensis
Branta leucopsis	goose	http://purl.obolibrary.org/obo/NCBITaxon_184711	Branta leucopsis
Chen caerulescens	goose	http://purl.obolibrary.org/obo/NCBITaxon_8849	Anser caerulescens
Goose	goose		
Gorilla beringei beringei	gorilla	http://purl.obolibrary.org/obo/NCBITaxon_499232	Gorilla beringei
Gorilla gorilla	gorilla	http://purl.obolibrary.org/obo/NCBITaxon_9593	Gorilla gorilla
Gorilla gorilla gorilla	gorilla	http://purl.obolibrary.org/obo/NCBITaxon_9593	Gorilla gorilla
Cavia porcellus	guinea pig	http://purl.obolibrary.org/obo/NCBITaxon_10141	Cavia porcellus
Cavia porcellus (guinea pig)	guinea pig	http://purl.obolibrary.org/obo/NCBITaxon_10141	Cavia porcellus
Larus argentatus	gull	http://purl.obolibrary.org/obo/NCBITaxon_35669	Larus argentatus
Larus argentatus (Herring gull)	gull	http://purl.obolibrary.org/obo/NCBITaxon_35669	Larus argentatus
Larus argentatus (herring gull)	gull	http://purl.obolibrary.org/obo/NCBITaxon_35669	Larus argentatus
Larus cachinnans	gull	http://purl.obolibrary.org/obo/NCBITaxon_119609	Larus cachinnans
Larus delawarensis	gull	http://purl.obolibrary.org/obo/NCBITaxon_126683	Larus delawarensis
Larus delewarensis	gull	http://purl.obolibrary.org/obo/NCBITaxon_126683	Larus delawarensis
Larus marinus (black-backed gull)	gull	http://purl.obolibrary.org/obo/NCBITaxon_8912	Larus marinus
Larus sp.	gull	http://purl.obolibrary.org/obo/NCBITaxon_8911	Larus
Black tailed jackrabbit (Lepus californicus)	hare	http://purl.obolibrary.org/obo/NCBITaxon_48087	Lepus californicus
Buteo jamaicensis	hawk	http://purl.obolibrary.org/obo/NCBITaxon_56263	Buteo jamaicensis
Buteo lineatus	hawk	http://purl.obolibrary.org/obo/NCBITaxon_223475	Buteo lineatus
Cooper's hawk	hawk		
Hawk, Ferruginous	hawk		
Hawk, Red-Tailed	hawk		
Hawk, Rough-Legged	hawk		
Hawk, Swainson's	hawk		
Hawk, Swainson's 	hawk		
Ardea cinerea	heron	http://purl.obolibrary.org/obo/NCBITaxon_30390	Ardea cinerea
Hippopotamus amphibius (hippopotamus)	hippopotamus	http://purl.obolibrary.org/obo/NCBITaxon_9833	Hippopotamus amphibius
California horse	horse		
Dermacentor nuttalli; isolated from horse	horse	http://purl.obolibrary.org/obo/NCBITaxon_9796	Equus caballus
equine	horse	http://purl.obolibrary.org/obo/NCBITaxon_9796	Equus caballus
Equus caballi	horse	http://purl.obolibrary.org/obo/NCBITaxon_9789	Equus
Equus caballus	horse	http://purl.obolibrary.org/obo/NCBITaxon_9796	Equus caballus
Equus caballus (horse)	horse	http://purl.obolibrary.org/obo/NCBITaxon_9796	Equus caballus
Equus przewalskii (Prezewalski's wild horse)	horse	http://purl.obolibrary.org/obo/NCBITaxon_9798	Equus przewalskii
foal	horse		
horse; thoroughbred mare	horse		
Prezewalski's wild horse	horse		
Iguana iguana	iguana	http://purl.obolibrary.org/obo/NCBITaxon_8517	Iguana iguana
Abraxas grossularia	Insects	http://purl.obolibrary.org/obo/NCBITaxon_393334	Abraxas
Oulema melanopus L.	Insects	http://purl.obolibrary.org/obo/NCBITaxon_294584	Oulema melanopus
Phyllobrotica armata Baly	Insects	http://purl.obolibrary.org/obo/NCBITaxon_131702	Phyllobrotica
free-living jaguar (Panthera onca)	jaguar	http://purl.obolibrary.org/obo/NCBITaxon_9690	Panthera onca
Jaguar	jaguar		
Panthera onca	jaguar	http://purl.obolibrary.org/obo/NCBITaxon_9690	Panthera onca
Macropus fuliginosus	kangaroo	http://purl.obolibrary.org/obo/NCBITaxon_9316	Macropus fuliginosus
Macropus giganteus	kangaroo	http://purl.obolibrary.org/obo/NCBITaxon_9317	Macropus giganteus
Macropus giganteus (kangaroo)	kangaroo	http://purl.obolibrary.org/obo/NCBITaxon_9317	Macropus giganteus
Macropus giganteus giganteus	kangaroo	http://purl.obolibrary.org/obo/NCBITaxon_9317	Macropus giganteus
Macropus rufus	kangaroo	http://purl.obolibrary.org/obo/NCBITaxon_9321	Macropus rufus
red kangaroo	kangaroo		
Milvus migrans	kite	http://purl.obolibrary.org/obo/NCBITaxon_52810	Milvus migrans
Milvus spp.	kite	http://purl.obolibrary.org/obo/NCBITaxon_43517	Milvus
Phascolarctos cinereus	koala	http://purl.obolibrary.org/obo/NCBITaxon_38626	Phascolarctos cinereus
Phascolarctos cinereus (koala)	koala	http://purl.obolibrary.org/obo/NCBITaxon_38626	Phascolarctos cinereus
Eulemur fulvus mayottensis	lemur	http://purl.obolibrary.org/obo/NCBITaxon_13515	Eulemur fulvus
Eulemur rubriventer	lemur	http://purl.obolibrary.org/obo/NCBITaxon_34829	Eulemur rubriventer
Eulemur rufus	lemur	http://purl.obolibrary.org/obo/NCBITaxon_859983	Eulemur rufus
Hapalemur aureus	lemur	http://purl.obolibrary.org/obo/NCBITaxon_122222	Hapalemur aureus
Lemur catta	lemur	http://purl.obolibrary.org/obo/NCBITaxon_9447	Lemur catta
Lemur catta (ring-tailed lemur)	lemur	http://purl.obolibrary.org/obo/NCBITaxon_9447	Lemur catta
Varecia rubra	lemur	http://purl.obolibrary.org/obo/NCBITaxon_554167	Varecia rubra
Varecia variegata	lemur	http://purl.obolibrary.org/obo/NCBITaxon_9455	Varecia variegata
Varecia variegata (black-and-white ruffed lemur)	lemur	http://purl.obolibrary.org/obo/NCBITaxon_9455	Varecia variegata
Panthera leo	lion	http://purl.obolibrary.org/obo/NCBITaxon_9689	Panthera leo
Panthera leo (lion)	lion	http://purl.obolibrary.org/obo/NCBITaxon_9689	Panthera leo
Agama agama	lizard	http://purl.obolibrary.org/obo/NCBITaxon_103336	Agama agama
Ameiva ameiva	lizard	http://purl.obolibrary.org/obo/NCBITaxon_8535	Ameiva ameiva
Anolis chloris (wild lizard)	lizard	http://purl.obolibrary.org/obo/NCBITaxon_1091109	Anolis chloris
Anolis distichus	lizard	http://purl.obolibrary.org/obo/NCBITaxon_38893	Anolis distichus
Anolis oculatus	lizard	http://purl.obolibrary.org/obo/NCBITaxon_109788	Anolis oculatus
Chlamydosaurus kingii	lizard	http://purl.obolibrary.org/obo/NCBITaxon_103699	Chlamydosaurus kingii
Hypsilurus modestus	lizard	http://purl.obolibrary.org/obo/NCBITaxon_206594	Hypsilurus modestus
monitor lizard	lizard		
Norops cupreus	lizard	http://purl.obolibrary.org/obo/NCBITaxon_323579	Anolis cupreus(Norops cupreus)
Podarcis hispanica	lizard	http://purl.obolibrary.org/obo/NCBITaxon_74081	Podarcis hispanicus
Podarcis lilfordi	lizard	http://purl.obolibrary.org/obo/NCBITaxon_74358	Podarcis lilfordi
Pogona vitticep	lizard	http://purl.obolibrary.org/obo/NCBITaxon_52201	Pogona
Prasinohaema prehensicauda	lizard	http://purl.obolibrary.org/obo/NCBITaxon_220791	Prasinohaema
Sceloporus jarrovi	lizard	http://purl.obolibrary.org/obo/NCBITaxon_59768	Sceloporus jarrovii
Sceloporus mexicanum	lizard	http://purl.obolibrary.org/obo/NCBITaxon_8518	Sceloporus
Sceloporus occidentalis	lizard	http://purl.obolibrary.org/obo/NCBITaxon_8519	Sceloporus occidentalis
Sphenomorphus jobiensis	lizard	http://purl.obolibrary.org/obo/NCBITaxon_127905	Sphenomorphus jobiensis
Sphenomorphus simus	lizard	http://purl.obolibrary.org/obo/NCBITaxon_230644	Sphenomorphus simus
Xenagama sp.	lizard	http://purl.obolibrary.org/obo/NCBITaxon_236746	Xenagama
Anas platyrhynchos	mallard	http://purl.obolibrary.org/obo/NCBITaxon_8839	Anas platyrhynchos
 human	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapience stool	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
homo sapiens	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens bone marrow	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens child	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens Linne	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens with recent exposure in Long Island, USA	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens, blood	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens, human feces	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens; asymptomatic child	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens; Chinese malaria patient SJ in West Africa	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens; Chinese malaria patient ZJP in West Africa	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens; female	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens; male	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapiens; VL patient	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo sapins	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homo spaiens	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Homosapiens	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
huamn	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Human	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Human (AIDS)	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Human (CT)	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Human (CT**)	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Human (CT??)	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
Human congenital	Mammals - human		
human congenital 	Mammals - human		
human erythrocytes	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human red blood cells	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human, AIDS	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human, congenital	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human, lymphoma	Mammals - human		
human, ocular infection	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human,AIDS	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human,AIDS,	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human,Congenital	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human,congenital	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human,Encephalitis	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human,kidney transplant	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human,Transplant	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
human,transplant	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
man	Mammals - human	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens
cattle from Cheju, Korea; elk from Minnesota, USA	Mammals - non human	http://purl.obolibrary.org/obo/NCBITaxon_9860	Cervus elaphus
cow, buffalo	Mammals - non human	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
sheep and goat	Mammals - non human		
Bettongia lesueur	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_65621	Bettongia lesueur
Bettongia penicillata	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_69259	Bettongia penicillata
Bettongia penicillata (woylie)	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_69259	Bettongia penicillata
Gilbert's potoroo (Potorus gilbertii)	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_173936	Potorous gilbertii
Petrogale penicillata	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_54088	Petrogale penicillata
Potorous gilbertii	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_173936	Potorous gilbertii
Quokka (Setonix brachyurus)	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_30670	Setonix brachyurus
Setonix brachyurus	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_30670	Setonix brachyurus
Sminthopsis crassicaudata (fat-tailed dunnart); experimentally infected dunnart (E2)	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_9301	Sminthopsis crassicaudata
Vombatus ursinus	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_29139	Vombatus ursinus
Vombatus ursinus AHB	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_29139	Vombatus ursinus
Wallabia bicolor	marsupial	http://purl.obolibrary.org/obo/NCBITaxon_9330	Wallabia bicolor
Suricata suricatta (slender tailed meerkat)	mongoose	http://purl.obolibrary.org/obo/NCBITaxon_37032	Suricata suricatta
desert monitor	monitors		
desert monitors	monitors		
rhesus monkey	monitors		
Savannah monitor	monitors		
Varanus exanthematicus	monitors	http://purl.obolibrary.org/obo/NCBITaxon_8557	Varanus exanthematicus
Alouatta caraya (black howler monkey)	monkey	http://purl.obolibrary.org/obo/NCBITaxon_9502	Alouatta caraya
Alouatta clamitans	monkey	http://purl.obolibrary.org/obo/NCBITaxon_9499	Alouatta
Alouatta fusca	monkey	http://purl.obolibrary.org/obo/NCBITaxon_182256	Alouatta guariba
Alouatta fusca (brown howler monkey)	monkey	http://purl.obolibrary.org/obo/NCBITaxon_182256	Alouatta guariba
Alouatta puruensis	monkey	http://purl.obolibrary.org/obo/NCBITaxon_9499	Alouatta
Alouatta seniculus	monkey	http://purl.obolibrary.org/obo/NCBITaxon_9503	Alouatta seniculus
Aotus azarai	monkey	http://purl.obolibrary.org/obo/NCBITaxon_30591	Aotus azarai
Aotus nigriceps	monkey	http://purl.obolibrary.org/obo/NCBITaxon_57175	Aotus nigriceps
