project label,originally assigned IRI,proposed or replacement IRI,project,reason for replacement,status
Province,http://purl.obolibrary.org/obo/NCIT_C25632,http://purl.obolibrary.org/obo/ENVO_00000005,SE Asia,"Do projects need to distinguish between Province and State? If not, I suggest the proposed IRI.",on agenda for ClinEpi ontology meeting
Zone,http://purl.obolibrary.org/obo/NCIT_C43428,May need different IRI in each project - see comment.,"Malawi, SIP","""Zone"" refers to a 2nd-order administrative region in Ethiopia but a 3rd-order one in Malawi.",on agenda for ClinEpi ontology meeting
