IRI,termType
EUPATH_0021087,"variable, derived"
EUPATH_0021086,"variable, derived"
EUPATH_0000550,"variable, derived"
EUPATH_0000546,"variable, derived"
EUPATH_0000551,"variable, derived"
EUPATH_0000547,"variable, derived"
