colOrder,uniqueVar,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
6,t0_larval_habitat_database2022_2023::nature.of.habitat,t0_larval_habitat_database2022_2023,,Nature of larval habitat,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
9,t0_larval_habitat_database2022_2023::cell.ward,t0_larval_habitat_database2022_2023,,Larval collection ward in Tanzania,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
10,t0_larval_habitat_database2022_2023::sub.village,t0_larval_habitat_database2022_2023,,Larval collection sub village,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
14,t0_larval_habitat_database2022_2023::agricultural.status,t0_larval_habitat_database2022_2023,,Agricultural status of larval collection site,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
,t0_larval_habitat_database2022_2023::larval.collection.longitude,t0_larval_habitat_database2022_2023,,Larval collection longitude,,Community,,Community arthropod collection,,,,new term needed,,,,,,,,,,,,,
15,t0_larval_habitat_database2022_2023::larval.collection.latitude,t0_larval_habitat_database2022_2023,,Larval collection latitude,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
16,t0_larval_habitat_database2022_2023::habitat.type,t0_larval_habitat_database2022_2023,,Larval collection habitat type,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
17,t0_larval_habitat_database2022_2023::habitat.parameter,t0_larval_habitat_database2022_2023,,Larval collection habitat parameter,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
18,t0_larval_habitat_database2022_2023::length..m.,t0_larval_habitat_database2022_2023,,Length of larval collection habitat,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
19,t0_larval_habitat_database2022_2023::width..m.,t0_larval_habitat_database2022_2023,,Width of larval collection habitat,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
20,t0_larval_habitat_database2022_2023::number.scoops...swipes,t0_larval_habitat_database2022_2023,,Larval collection scoop and sweep count,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
21,t0_larval_habitat_database2022_2023::vegetation.type,t0_larval_habitat_database2022_2023,,Larval collection vegetation type,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
22,t0_larval_habitat_database2022_2023::distance.to.house..m.,t0_larval_habitat_database2022_2023,,Distance of larval collection habitat to house,,Community,,Community arthropod collection,,,,new term needed,,,,T0,m,,,,,,,,
23,t0_larval_habitat_database2022_2023::intervention.present,t0_larval_habitat_database2022_2023,,Household vector intervention present,,Household,,Household vector intervention,,,,new term needed,,,,T0,,,,,,,,,
25,t0_larval_habitat_database2022_2023::macroinvertebrates.family,t0_larval_habitat_database2022_2023,,Macroinvertebrate family present at collection site,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
26,t0_larval_habitat_database2022_2023::common.name,t0_larval_habitat_database2022_2023,,Common name of macroinvertebrates at collection site,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
28,t0_larval_habitat_database2022_2023::life.stage,t0_larval_habitat_database2022_2023,,Life stage of macroinvertebrates at collection site,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
29,t0_larval_habitat_database2022_2023::number.quantity,t0_larval_habitat_database2022_2023,,Macroinvertebrate present at collection site count,,Community,,Community arthropod collection,,,,new term needed,,,,T0,,,,,,,,,
5,t0 malaria cases in ukerewe health facilities vertical 20231011::latitude,t0 malaria cases in ukerewe health facilities vertical 20231011,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Latitude,,,,,,,T0,,,,,,,,,
6,t0 malaria cases in ukerewe health facilities vertical 20231011::longitude,t0 malaria cases in ukerewe health facilities vertical 20231011,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,Longitude,,,,,,,T0,,,,,,,,,
7,t0 malaria cases in ukerewe health facilities vertical 20231011::year,t0 malaria cases in ukerewe health facilities vertical 20231011,http://purl.obolibrary.org/obo/EUPATH_0010374,Year,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Year,,,,,,,T0,,,,,,,,,
8,t0 malaria cases in ukerewe health facilities vertical 20231011::month,t0 malaria cases in ukerewe health facilities vertical 20231011,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Month,,,,,,,T0,,,,,,,,,
11,t0 malaria cases in ukerewe health facilities vertical 20231011::positives,t0 malaria cases in ukerewe health facilities vertical 20231011,http://purl.obolibrary.org/obo/EUPATH_0063010,Malaria positive count,,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Positives,,,,,,,T0,,,,,,,,,
1,t0 malaria cases in ukerewe health facilities vertical 20231011::x...island,t0 malaria cases in ukerewe health facilities vertical 20231011,,Island,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,new term needed,,,,T0,,,,,,,,,
2,t0 malaria cases in ukerewe health facilities vertical 20231011::village..catchment.area.,t0 malaria cases in ukerewe health facilities vertical 20231011,,Village catchment area,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,new term needed,,,,T0,,,,,,,,,
3,t0 malaria cases in ukerewe health facilities vertical 20231011::health.facility,t0 malaria cases in ukerewe health facilities vertical 20231011,http://purl.obolibrary.org/obo/EUPATH_0053050,Facility name,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,,,,T0,,,,,,,,,
4,t0 malaria cases in ukerewe health facilities vertical 20231011::distance.from.nansio.hospital..km.,t0 malaria cases in ukerewe health facilities vertical 20231011,,Distance from Nansio hospital,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,new term needed,,,,T0,,,,,,,,,
9,t0 malaria cases in ukerewe health facilities vertical 20231011::age.group,t0 malaria cases in ukerewe health facilities vertical 20231011,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,,,,,T0,,,,,,,,,
10,t0 malaria cases in ukerewe health facilities vertical 20231011::total.tested,t0 malaria cases in ukerewe health facilities vertical 20231011,http://purl.obolibrary.org/obo/EUPATH_0063008,Tested for malaria count,,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,,,,,,,,T0,,,,,,,,,
1,t0_larval_habitat_sheet_2::sampling_date,t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/EUPATH_0020003,Collection date,,Household,http://purl.obolibrary.org/obo/OBI_0002913,Arthropod collection process,Sampling Date,,,,,,,T0,,,,,,,,,
7,t0_larval_habitat_sheet_2::region,t0_larval_habitat_sheet_2,,Larval mosquito collection region,,Community,,Community arthropod collection,Region,,,,,,,T0,,,,,,,,,
8,t0_larval_habitat_sheet_2::district,t0_larval_habitat_sheet_2,,Larval mosquito collection district in Tanzania,,Community,,Community arthropod collection,District,,,,,,,T0,,,,,,,,,
11,t0_larval_habitat_sheet_2::method,t0_larval_habitat_sheet_2,,Larval collection method,,Community,,Community arthropod collection,Method,,,,,,,T0,,,,,,,,,
12,t0_larval_habitat_sheet_2::season,t0_larval_habitat_sheet_2,,Season during larval collection,,Community,,Community arthropod collection,Season,,,,,,,T0,,,,,,,,,
