variable,dataFile,IRI,label,definition,category,displayOrder,parentIRI,parentLabel,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
t0_ento_adult_data_20231010::abdominal.status,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00672,Mosquito abdominal status,,Household,,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::molecular.id.pcr,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00673,"Mosquito species, by PCR",,Household,,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,,,,T0,,,yes,,,,,,
t0_ento_adult_data_20231010::csp.elisa,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00674,"CSP, by ELISA",,Household,,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::blood..h.c.g.d.,t0_ento_adult_data_20231010,http://purl.obolibrary.org/obo/CLINEPIDB_00675,Blood meal assay result,,Household,,http://purl.obolibrary.org/obo/EUPATH_0044177,Arthropod sample,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::sampling_date,t0_larval_habitat_database2022_2023,http://purl.obolibrary.org/obo/CLINEPIDB_00676,Larval mosquito collection date,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,yes,,T0,,,yes,,,,,,
t0_larval_habitat_database2022_2023::position.of.nto | t0_larval_habitat_sheet_2::position.of.nto,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00677,Position of NTO,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::nature.of.habitat | t0_larval_habitat_sheet_2::nature.of.habitat,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00678,Nature of larval habitat,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::region | t0_larval_habitat_sheet_2::region,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00679,Larval mosquito collection region,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::district | t0_larval_habitat_sheet_2::district,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00680,Larval mosquito collection district in Tanzania,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::cell.ward | t0_larval_habitat_sheet_2::cell.ward,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00681,Larval collection ward in Tanzania,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
