sid,label_count,labels,datasets
EUPATH_0000048,3,"Microscopy result | Asexual Plasmodium parasites present, by microscopy | Asexual parasites present, microscopy",eupath_isa | icemr_prism | protein_array
EUPATH_0000537,2,"Parasite density (per uL blood), microscopy | Plasmodium density (per uL blood), by microscopy",eupath_isa | icemr_southAsia | protein_array
EUPATH_0000546,2,"Plasmodium falciparum gametocyte density (per uL blood), by microscopy | P. falciparum gametocyte density (per uL blood), microscopy",icemr_indian | icemr_india_feverSurv | icemr_amazoniaPeru_long | protein_array
EUPATH_0000547,2,"Plasmodium vivax gametocyte density (per uL blood), by microscopy | P. vivax gametocyte density (per uL blood), microscopy",icemr_indian | icemr_india_feverSurv | icemr_amazoniaPeru_long | protein_array
EUPATH_0000550,2,"Plasmodium falciparum asexual stage density (per uL blood), by microscopy | P. falciparum asexual stage density (per uL blood), microscopy",icemr_indian | icemr_india_feverSurv | icemr_amazoniaPeru_long | protein_array
EUPATH_0000551,2,"Plasmodium vivax asexual stage density (per uL blood), by microscopy | P. vivax asexual stage density (per uL blood), microscopy",icemr_indian | icemr_india_feverSurv | icemr_amazoniaPeru_long | protein_array
OBI_0001169,2,Age | Age (years),eupath_isa | icemr_india_feverSurv | microbiome
OGMS_0000073,2,Health status | Diagnosis,eupath_isa | icemr_indian | icemr_prism | icemr_india_feverSurv | gates_maled | protein_array
