variable	variable2	values	mappedTerm
hh_12m::health_sub_district	hh_12m::health_sub_district	Bushenyi-Ishaka Municipality	Bushenyi-Ishaka Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Busia Municipality	Busia Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Busongora North	Busongora North
hh_12m::health_sub_district	hh_12m::health_sub_district	Busongora South	Busongora South
hh_12m::health_sub_district	hh_12m::health_sub_district	Butembe	Butembe
hh_12m::health_sub_district	hh_12m::health_sub_district	Buyaga East	Buyaga East
hh_12m::health_sub_district	hh_12m::health_sub_district	Buyaga West	Buyaga West
hh_12m::health_sub_district	hh_12m::health_sub_district	Buyangabu	Buyangabu
hh_12m::health_sub_district	hh_12m::health_sub_district	Buyanja	Buyanja
hh_12m::health_sub_district	hh_12m::health_sub_district	Buzaaya	Buzaaya
hh_12m::health_sub_district	hh_12m::health_sub_district	Bwamba	Bwamba
hh_12m::health_sub_district	hh_12m::health_sub_district	Fort-Portal Municipality	Fort-Portal Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Hoima Municipality	Hoima Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Ibanda	Ibanda
hh_12m::health_sub_district	hh_12m::health_sub_district	Iganga Municipality	Iganga Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Igara East	Igara East
hh_12m::health_sub_district	hh_12m::health_sub_district	Igara West	Igara West
hh_12m::health_sub_district	hh_12m::health_sub_district	Isingiro North	Isingiro North
hh_12m::health_sub_district	hh_12m::health_sub_district	Isingiro South	Isingiro South
hh_12m::health_sub_district	hh_12m::health_sub_district	Jinja Municipal	Jinja Municipal
hh_12m::health_sub_district	hh_12m::health_sub_district	Kabale Municipality	Kabale Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Kagoma	Kagoma
hh_12m::health_sub_district	hh_12m::health_sub_district	Kajara	Kajara
hh_12m::health_sub_district	hh_12m::health_sub_district	Kapelebyong	Kapelebyong
hh_12m::health_sub_district	hh_12m::health_sub_district	Kasese Municipality	Kasese Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Kashari	Kashari
hh_12m::health_sub_district	hh_12m::health_sub_district	Katerera	Katerera
hh_12m::health_sub_district	hh_12m::health_sub_district	Kazo	Kazo
hh_12m::health_sub_district	hh_12m::health_sub_district	Kibaale	Kibaale
hh_12m::health_sub_district	hh_12m::health_sub_district	Kibanda	Kibanda
hh_12m::health_sub_district	hh_12m::health_sub_district	Kigulu North	Kigulu North
hh_12m::health_sub_district	hh_12m::health_sub_district	Kigulu South	Kigulu South
hh_12m::health_sub_district	hh_12m::health_sub_district	Kinkizi East	Kinkizi East
hh_12m::health_sub_district	hh_12m::health_sub_district	Kinkizi West	Kinkizi West
hh_12m::health_sub_district	hh_12m::health_sub_district	Kitagwenda	Kitagwenda
hh_12m::health_sub_district	hh_12m::health_sub_district	Kongasis	Kongasis
hh_12m::health_sub_district	hh_12m::health_sub_district	Kumi	Kumi
hh_12m::health_sub_district	hh_12m::health_sub_district	Kween	Kween
hh_12m::health_sub_district	hh_12m::health_sub_district	Kyaka	Kyaka
hh_12m::health_sub_district	hh_12m::health_sub_district	Luuka	Luuka
hh_12m::health_sub_district	hh_12m::health_sub_district	Manjia	Manjia
hh_12m::health_sub_district	hh_12m::health_sub_district	Masindi Municipality	Masindi Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Mbale Municipality	Mbale Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Mbarara Municipality	Mbarara Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Mwenge North	Mwenge North
hh_12m::health_sub_district	hh_12m::health_sub_district	Mwenge South	Mwenge South
hh_12m::health_sub_district	hh_12m::health_sub_district	Ndorwa East	Ndorwa East
hh_12m::health_sub_district	hh_12m::health_sub_district	Ndorwa West	Ndorwa West
hh_12m::health_sub_district	hh_12m::health_sub_district	Ngora	Ngora
hh_12m::health_sub_district	hh_12m::health_sub_district	Ntoroko	Ntoroko
hh_12m::health_sub_district	hh_12m::health_sub_district	Ntungamo Municipality	Ntungamo Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Nyabushozi	Nyabushozi
hh_12m::health_sub_district	hh_12m::health_sub_district	Rubabo	Rubabo
hh_12m::health_sub_district	hh_12m::health_sub_district	Rubanda East	Rubanda East
hh_12m::health_sub_district	hh_12m::health_sub_district	Rubanda West	Rubanda West
hh_12m::health_sub_district	hh_12m::health_sub_district	Ruhaama	Ruhaama
hh_12m::health_sub_district	hh_12m::health_sub_district	Ruhinda	Ruhinda
hh_12m::health_sub_district	hh_12m::health_sub_district	Rujumbura	Rujumbura
hh_12m::health_sub_district	hh_12m::health_sub_district	Rukiga North	Rukiga North
hh_12m::health_sub_district	hh_12m::health_sub_district	Rukiga South	Rukiga South
hh_12m::health_sub_district	hh_12m::health_sub_district	Rukungiri Municipality	Rukungiri Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Rushenyi	Rushenyi
hh_12m::health_sub_district	hh_12m::health_sub_district	Rwampara	Rwampara
hh_12m::health_sub_district	hh_12m::health_sub_district	Samia Bugwe North	Samia Bugwe North
hh_12m::health_sub_district	hh_12m::health_sub_district	Samia Bugwe South	Samia Bugwe South
hh_12m::health_sub_district	hh_12m::health_sub_district	Sheema North	Sheema North
hh_12m::health_sub_district	hh_12m::health_sub_district	Sheema South	Sheema South
hh_12m::health_sub_district	hh_12m::health_sub_district	Soroti	Soroti
hh_12m::health_sub_district	hh_12m::health_sub_district	Soroti Municipality	Soroti Municipality
hh_12m::health_sub_district	hh_12m::health_sub_district	Tingey	Tingey
hh_18m::health_sub_district	hh_18m::health_sub_district	Amuria	Amuria
hh_18m::health_sub_district	hh_18m::health_sub_district	Bubulo East	Bubulo East
hh_18m::health_sub_district	hh_18m::health_sub_district	Bubulo West	Bubulo West
hh_18m::health_sub_district	hh_18m::health_sub_district	Budadiri East	Budadiri East
hh_18m::health_sub_district	hh_18m::health_sub_district	Budadri West	Budadri West
hh_18m::health_sub_district	hh_18m::health_sub_district	Budiope	Budiope
hh_18m::health_sub_district	hh_18m::health_sub_district	Bufumbira East	Bufumbira East
hh_18m::health_sub_district	hh_18m::health_sub_district	Bufumbira North	Bufumbira North
hh_18m::health_sub_district	hh_18m::health_sub_district	Bufumbira South	Bufumbira South
hh_18m::health_sub_district	hh_18m::health_sub_district	Bugabula	Bugabula
hh_18m::health_sub_district	hh_18m::health_sub_district	Bugahya	Bugahya
hh_18m::health_sub_district	hh_18m::health_sub_district	Bugangaizi East	Bugangaizi East
hh_18m::health_sub_district	hh_18m::health_sub_district	Bugangaizi West	Bugangaizi West
hh_18m::health_sub_district	hh_18m::health_sub_district	Bughendera	Bughendera
hh_18m::health_sub_district	hh_18m::health_sub_district	Bugweri	Bugweri
hh_18m::health_sub_district	hh_18m::health_sub_district	Buhaguzi	Buhaguzi
hh_18m::health_sub_district	hh_18m::health_sub_district	Buhweju	Buhweju
hh_18m::health_sub_district	hh_18m::health_sub_district	Bujenje	Bujenje
hh_18m::health_sub_district	hh_18m::health_sub_district	Bukanga	Bukanga
hh_18m::health_sub_district	hh_18m::health_sub_district	Bukedea	Bukedea
hh_18m::health_sub_district	hh_18m::health_sub_district	Bukonzo East	Bukonzo East
hh_18m::health_sub_district	hh_18m::health_sub_district	Bukonzo West	Bukonzo West
hh_18m::health_sub_district	hh_18m::health_sub_district	Bukooli South	Bukooli South
hh_18m::health_sub_district	hh_18m::health_sub_district	Bulambuli	Bulambuli
hh_18m::health_sub_district	hh_18m::health_sub_district	Bulamogi	Bulamogi
hh_18m::health_sub_district	hh_18m::health_sub_district	Buliisa	Buliisa
hh_18m::health_sub_district	hh_18m::health_sub_district	Bungokho North	Bungokho North
hh_18m::health_sub_district	hh_18m::health_sub_district	Bungokho South	Bungokho South
hh_18m::health_sub_district	hh_18m::health_sub_district	Bunya East	Bunya East
hh_18m::health_sub_district	hh_18m::health_sub_district	Bunya South	Bunya South
hh_18m::health_sub_district	hh_18m::health_sub_district	Bunya West	Bunya West
hh_18m::health_sub_district	hh_18m::health_sub_district	Bunyaruguru	Bunyaruguru
hh_18m::health_sub_district	hh_18m::health_sub_district	Burahya	Burahya
hh_18m::health_sub_district	hh_18m::health_sub_district	Buruli	Buruli
hh_18m::health_sub_district	hh_18m::health_sub_district	Bushenyi-Ishaka Municipality	Bushenyi-Ishaka Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Busia Municipality	Busia Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Busongora North	Busongora North
hh_18m::health_sub_district	hh_18m::health_sub_district	Busongora South	Busongora South
hh_18m::health_sub_district	hh_18m::health_sub_district	Butembe	Butembe
hh_18m::health_sub_district	hh_18m::health_sub_district	Buyaga East	Buyaga East
hh_18m::health_sub_district	hh_18m::health_sub_district	Buyaga West	Buyaga West
hh_18m::health_sub_district	hh_18m::health_sub_district	Buyangabu	Buyangabu
hh_18m::health_sub_district	hh_18m::health_sub_district	Buyanja	Buyanja
hh_18m::health_sub_district	hh_18m::health_sub_district	Buzaaya	Buzaaya
hh_18m::health_sub_district	hh_18m::health_sub_district	Bwamba	Bwamba
hh_18m::health_sub_district	hh_18m::health_sub_district	Fort-Portal Municipality	Fort-Portal Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Hoima Municipality	Hoima Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Ibanda	Ibanda
hh_18m::health_sub_district	hh_18m::health_sub_district	Iganga Municipality	Iganga Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Igara East	Igara East
hh_18m::health_sub_district	hh_18m::health_sub_district	Igara West	Igara West
hh_18m::health_sub_district	hh_18m::health_sub_district	Isingiro North	Isingiro North
hh_18m::health_sub_district	hh_18m::health_sub_district	Isingiro South	Isingiro South
hh_18m::health_sub_district	hh_18m::health_sub_district	Jinja Municipal	Jinja Municipal
hh_18m::health_sub_district	hh_18m::health_sub_district	Kabale Municipality	Kabale Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Kagoma	Kagoma
hh_18m::health_sub_district	hh_18m::health_sub_district	Kajara	Kajara
hh_18m::health_sub_district	hh_18m::health_sub_district	Kapelebyong	Kapelebyong
hh_18m::health_sub_district	hh_18m::health_sub_district	Kasese Municipality	Kasese Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Kashari	Kashari
hh_18m::health_sub_district	hh_18m::health_sub_district	Katerera	Katerera
hh_18m::health_sub_district	hh_18m::health_sub_district	Kazo	Kazo
hh_18m::health_sub_district	hh_18m::health_sub_district	Kibaale	Kibaale
hh_18m::health_sub_district	hh_18m::health_sub_district	Kibanda	Kibanda
hh_18m::health_sub_district	hh_18m::health_sub_district	Kigulu North	Kigulu North
hh_18m::health_sub_district	hh_18m::health_sub_district	Kigulu South	Kigulu South
hh_18m::health_sub_district	hh_18m::health_sub_district	Kinkizi East	Kinkizi East
hh_18m::health_sub_district	hh_18m::health_sub_district	Kinkizi West	Kinkizi West
hh_18m::health_sub_district	hh_18m::health_sub_district	Kitagwenda	Kitagwenda
hh_18m::health_sub_district	hh_18m::health_sub_district	Kongasis	Kongasis
hh_18m::health_sub_district	hh_18m::health_sub_district	Kumi	Kumi
hh_18m::health_sub_district	hh_18m::health_sub_district	Kween	Kween
hh_18m::health_sub_district	hh_18m::health_sub_district	Kyaka	Kyaka
hh_18m::health_sub_district	hh_18m::health_sub_district	Luuka	Luuka
hh_18m::health_sub_district	hh_18m::health_sub_district	Manjia	Manjia
hh_18m::health_sub_district	hh_18m::health_sub_district	Masindi Municipality	Masindi Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Mbale Municipality	Mbale Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Mbarara Municipality	Mbarara Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Mwenge North	Mwenge North
hh_18m::health_sub_district	hh_18m::health_sub_district	Mwenge South	Mwenge South
hh_18m::health_sub_district	hh_18m::health_sub_district	Ndorwa East	Ndorwa East
hh_18m::health_sub_district	hh_18m::health_sub_district	Ndorwa West	Ndorwa West
hh_18m::health_sub_district	hh_18m::health_sub_district	Ngora	Ngora
hh_18m::health_sub_district	hh_18m::health_sub_district	Ntoroko	Ntoroko
hh_18m::health_sub_district	hh_18m::health_sub_district	Ntungamo Municipality	Ntungamo Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Nyabushozi	Nyabushozi
hh_18m::health_sub_district	hh_18m::health_sub_district	Rubabo	Rubabo
hh_18m::health_sub_district	hh_18m::health_sub_district	Rubanda East	Rubanda East
hh_18m::health_sub_district	hh_18m::health_sub_district	Rubanda West	Rubanda West
hh_18m::health_sub_district	hh_18m::health_sub_district	Ruhaama	Ruhaama
hh_18m::health_sub_district	hh_18m::health_sub_district	Ruhinda	Ruhinda
hh_18m::health_sub_district	hh_18m::health_sub_district	Rujumbura	Rujumbura
hh_18m::health_sub_district	hh_18m::health_sub_district	Rukiga North	Rukiga North
hh_18m::health_sub_district	hh_18m::health_sub_district	Rukiga South	Rukiga South
hh_18m::health_sub_district	hh_18m::health_sub_district	Rukungiri Municipality	Rukungiri Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Rushenyi	Rushenyi
hh_18m::health_sub_district	hh_18m::health_sub_district	Rwampara	Rwampara
hh_18m::health_sub_district	hh_18m::health_sub_district	Samia Bugwe North	Samia Bugwe North
hh_18m::health_sub_district	hh_18m::health_sub_district	Samia Bugwe South	Samia Bugwe South
hh_18m::health_sub_district	hh_18m::health_sub_district	Sheema North	Sheema North
hh_18m::health_sub_district	hh_18m::health_sub_district	Sheema South	Sheema South
hh_18m::health_sub_district	hh_18m::health_sub_district	Soroti	Soroti
hh_18m::health_sub_district	hh_18m::health_sub_district	Soroti Municipality	Soroti Municipality
hh_18m::health_sub_district	hh_18m::health_sub_district	Tingey	Tingey
hh_18m::spray	hh_18m::spray	Dont Know	Don't know
hh_00m::country	hh_00m::country	uganda	Uganda
hh_06m::country	hh_06m::country	uganda	Uganda
hh_12m::country	hh_12m::country	uganda	Uganda
hh_18m::country	hh_18m::country	uganda	Uganda
