variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
comunidad_viaje_1,icemr2,http://purl.obolibrary.org/obo/EUPATH_0049007,'Place visited',,Participant,,1st Community in which it stopped,variable,1st Community in which it stopped,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
comunidad_viaje_2,icemr2,http://purl.obolibrary.org/obo/EUPATH_0057723,"'Place visited, 2'",,Participant,,2nd Community in which it stopped,variable,2nd Community in which it stopped,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
comunidad_viaje_3,icemr2,http://purl.obolibrary.org/obo/EUPATH_0057724,"'Place visited, 3'",,Participant,,3rd Community in which it stopped,variable,3rd Community in which it stopped,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
durac_total_viaje,icemr2,,Total travel  from A to B count,Total journey time from A to B,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Total journey time from A to B,1 = Minutes | 2 = Hours | 3 = Days,,,,,ICEMR2_cross_sectional,,,,,,,,,
dias_total_viaje,icemr2,,Total days of travel from A to B,Total journey days from A to B,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Total journey days from A to B,NA,,,,,ICEMR2_cross_sectional,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
horas_total_viaje,icemr2,,Total hours of travel from A to B,Total journey hours from A to B,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Total hours of journey from A to B,NA,,,,,ICEMR2_cross_sectional,hours,http://purl.obolibrary.org/obo/UO_0000032,,,,,,,
min_total_viaje,icemr2,,Total minutes of travel from A to B,Total journey minutes from A to B,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Total minutes of travel from A to B,NA,,,,,ICEMR2_cross_sectional,minutes,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
f_partida_comu,icemr2,,Departure date from A to B,Departure date from A to B,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Departure date from A to B,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
f_llegada_destino,icemr2,,Date of arrival from A to destination,Date of arrival from A to destination,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Date of arrival from A to destination,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
durac_total_permanencia,icemr2,,Total duration of stay at destination,Total duration of stay at destination,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Total duration of stay at destination,1 = Minutes | 2 = Hours | 3 = Days,,,,,ICEMR2_cross_sectional,,,,,,,,,
dias_total_permanencia,icemr2,,Total days spent at destination,Total days spent at destination,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Total days spent at destination,NA,,,,,ICEMR2_cross_sectional,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
horas_total_permanencia,icemr2,,Total hours spent at destination,Total hours spent at destination,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Total hours spent at destination,NA,,,,,ICEMR2_cross_sectional,hours,http://purl.obolibrary.org/obo/UO_0000032,,,,,,,
min_total_permanencia,icemr2,,Total minutes spent at destination,Total minutes spent at destination,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Total minutes spent at destination,NA,,,,,ICEMR2_cross_sectional,minutes,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
f_partida_comu_dest,icemr2,,Departure date from B to A,Departure date from B to A,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Departure date from B to A,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
f_llegada_destino_dest,icemr2,,Date of arrival at A,Date of arrival at A,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Date of arrival at A,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
transporte_primario,icemr2,,Primary transportation in last trip,Primary transportation used on your last trip,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Primary transportation used on your last trip,1 = Paddling canoe | 2 = Motor boat (small-small) | 3 = Powerboat (boat/speeder) | 4 = Bicycle | 5 = Airplane | 6 = Walking | 88 = Other,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_transporte_primario,icemr2,,Primary transportation in last trip sepcified,"Primary transportation used on your last trip, specify",Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,"Primary transportation used on your last trip, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
infra_medio,icemr2,,Infrastructure of the means of transport,Infrastructure of the means of transport,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Infrastructure of the means of transport,1 = Covered/Closed | 2 = Uncovered/Open,,,,,ICEMR2_cross_sectional,,,,,,,,,
