variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
material_pared,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,Predominant material in the walls of the house,Household,,,variable,Predominant material in the walls of the house,"1 = Brick, cement | 2 = Wood | 3 = Adobe | 4 = Straw | 5 = Mats | 88 = Other ",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_material_pared,icemr2,,Other wall material specified,"Predominant material in the walls of the house, specify",Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,"Predominant material in the walls of the house, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
material_piso,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,Predominant material on the floor of the house,Household,,,variable,Predominant material on the floor of the house,1 = Ground | 2 = Wood | 3 = Set | 4 = Unfinished cement | 5 = Majolica or other fine finish | 88 = Other ,,,,,ICEMR2_cross_sectional,,,,,,,,,
material_techo,icemr2,,Other floor material specified,Predominant material in the roof of the house,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,variable,Predominant material in the roof of the house,"1 = Calamine | 2 = Leaf, palm or straw | 3 = Cement | 4 = Wood | 5 = Mats | 88 = Other ",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_material_techo,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,"Predominant material in the roof of the house, specify",Household,,,variable,"Predominant material in the roof of the house, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
fuente_agua,icemr2,http://purl.obolibrary.org/obo/EUPATH_0021093,Water source,Main source of water for human consumption (to prepare food) in the house,Household,,,variable,Main source of water for human consumption (to prepare food) in the house,1 = Drinking water inside the house | 2 = Drinking water away from home | 3 = Well | 4 = Pylon for public use | 5 = River or stream | 6 = Rainwater | 88 = Other  | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_fuente_agua,icemr2,,Other water source specified,"Main source of water for human consumption (to prepare food) in the house, specify",Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,variable,"Main source of water for human consumption (to prepare food) in the house, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipo_banio,icemr2,http://purl.obolibrary.org/obo/EUPATH_0025150,Toilet type,Type of bathroom in the home,Household,,,variable,Type of bathroom in the home,1 = Toilet to drain inside the house | 2 = Toilet to drain away from home | 3 = Toilet to septic tank | 4 = Outhouse | 5 = Blind hole | 6 = Ecological Toilet | 0 = Does not have | 88 = Other  | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_tipo_banio,icemr2,,Other toilet type specified,"Type of bathroom in the home, specify",Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,variable,"Type of bathroom in the home, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipo_comb,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,Type of fuel in the home,Household,,,variable,Type of fuel in the home,1 = Gas ball | 2 = Electricity | 3 = Coal | 4 = Firewood | 88 = Other | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,Household,,,multifilter,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
equipo_elec_1,icemr2,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,In your house there is: Electricity,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
equipo_elec_2,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022256,Generator,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,In your house there is: Electric Generator,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
equipo_elec_3,icemr2,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,In your house there is: Radio,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
equipo_elec_4,icemr2,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,In your house there is: TV,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
equipo_elec_5,icemr2,http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,In your house there is: Fixed telephone,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
equipo_elec_6,icemr2,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,In your house there is: Refrigerator,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
equipo_elec_7,icemr2,,Solar Panel,,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,In your house there is: Solar Panel,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
horas_electricidad,icemr2,,Daily use of electricity ,How many hours a day do you have electricity?,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,variable,How many hours a day do you have electricity?,NA,,,,,ICEMR2_cross_sectional,hours,http://purl.obolibrary.org/obo/UO_0000032,,,,,,,
horas_generador,icemr2,,Daily use of electric generator,How many hours a day do you use the electric generator?,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,variable,How many hours a day do you use the electric generator?,NA,,,,,ICEMR2_cross_sectional,hours,http://purl.obolibrary.org/obo/UO_0000032,,,,,,,
transporte_1,icemr2,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,Does anyone in your household have: Bicycle,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Does anyone in your household have: Bicycle,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
transporte_2,icemr2,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,Does anyone in your household have: Motorcycle,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Does anyone in your household have: Motorcycle,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
transporte_3,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000171,Car/Truck,Does anyone in your household have: Car/Truck,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Does anyone in your household have: Car/Truck,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
transporte_4,icemr2,,Moto-taxi,Does someone in your house have: Moto-taxi,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Does someone in your house have: Moto-taxi,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
transporte_5,icemr2,,Peque-peque,Someone in your house has: Peque-peque,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Someone in your house has: Peque-peque,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
transporte_6,icemr2,http://purl.obolibrary.org/obo/EUPATH_0047068,Canoe,Someone in your house has: Canoe,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Someone in your house has: Canoe,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
transporte_7,icemr2,,Outboard motor,Does anyone in your household have: Outboard motor,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Does anyone in your household have: Outboard motor,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
transporte_8,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022257,Chainsaw,Someone in your house has: Chainsaw,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,value,Someone in your house has: Chainsaw,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
,icemr2,,Benefit,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,multifilter,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
beneficios_1,icemr2,,Glass of milk,Glass of milk,Participant,,Benefit,value,Glass of milk,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
beneficios_2,icemr2,,Popular dining room or mothers club,Popular dining room or mothers club,Participant,,Benefit,value,Popular dining room or mothers club,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
beneficios_3,icemr2,   ,School breakfasts in educational institutions PRONOEI or QALI WARMA,School breakfasts in educational institutions PRONOEI or QALI WARMA,Participant,,Benefit,value,School breakfasts in educational institutions PRONOEI or QALI WARMA,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
beneficios_4,icemr2,,School lunches in educational institutions PRONOEI or QALI WARMA,School lunches in educational institutions PRONOEI or QALI WARMA,Participant,,Benefit,value,School lunches in educational institutions PRONOEI or QALI WARMA,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
beneficios_5,icemr2,,Food Care Wawa Wasi/Cuna M�s,Food Care Wawa Wasi/Cuna Más,Participant,,Benefit,value,Food Care Wawa Wasi/Cuna Más,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
beneficios_6,icemr2,,Other,Other,Participant,,Benefit,value,Other,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_beneficios,icemr2,,Benefits specified,"Benefits, specify",Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,"Benefits, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
,icemr2,,Program type ,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,multifilter,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
programas_1,icemr2,,National Wawa Wasi/Cuna Mas-Day Care Program,National Wawa Wasi/Cuna Mas-Day Care Program,Participant,,Program type ,value,National Wawa Wasi/Cuna Mas-Day Care Program,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
programas_3,icemr2,,National Program against Family and Sexual Violence - Womens Emergency Center (CEN),National Program against Family and Sexual Violence - Women's Emergency Center (CEN),Participant,,Program type ,value,National Program against Family and Sexual Violence - Women's Emergency Center (CEN),0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
programas_4,icemr2,,Direct Support Program for the Poorest TOGETHER,Direct Support Program for the Poorest TOGETHER,Participant,,Program type ,value,Direct Support Program for the Poorest TOGETHER,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
programas_5,icemr2,,Pension 65 Program,Pension 65 Program,Participant,,Program type ,value,Pension 65 Program,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
programas_10,icemr2,,Scholarship Program 18,Scholarship Program 18,Participant,,Program type ,value,Scholarship Program 18,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
programas_11,icemr2,,Other,Other,Participant,,Program type ,value,Other,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
,icemr2,,Social capital,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,multifilter,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_2,icemr2,,Political groups or parties,Political groups or parties,Participant,,Social capital,value,Political groups or parties,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_4,icemr2,,Neighborhood association,neighborhood association,Participant,,Social capital,value,neighborhood association,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_5,icemr2,,Peasant rounds,peasant rounds,Participant,,Social capital,value,peasant rounds,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_6,icemr2,,Irrigation association,Irrigation Association,Participant,,Social capital,value,Irrigation Association,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_9,icemr2,,Mothers clubs,mothers clubs,Participant,,Social capital,value,mothers clubs,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_11,icemr2,,Glass of milk,Glass of milk,Participant,,Social capital,value,Glass of milk,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_12,icemr2,,Popular dining room,Popular dining room,Participant,,Social capital,value,Popular dining room,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_16,icemr2,,Peasant community,peasant community,Participant,,Social capital,value,peasant community,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_17,icemr2,,Agricultural association,Agricultural Association,Participant,,Social capital,value,Agricultural Association,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_18,icemr2,,Participation in the preparation of school breakfast or lunch,Participation in the preparation of school breakfast or lunch,Participant,,Social capital,value,Participation in the preparation of school breakfast or lunch,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_19,icemr2,,Participation in a religious group,Participation in a religious group,Participant,,Social capital,value,Participation in a religious group,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
capital_social_20,icemr2,,Other,Other,Participant,,Social capital,value,Other,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_capital_social,icemr2,,Other social capital specified,Specify,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,Specify,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
animales_casa,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000418,Animals indoors,Are there animals inside the house?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Are there animals inside the house?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
animales_libres,icemr2,,Animal walking in house,Are they free? (Not locked up) Walking inside the house?,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Are they free? (Not locked up) Walking inside the house?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
,icemr2,,Inside animals on property,,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,multifilter,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_1,icemr2,,Dog or cat,,Household,,Inside animals on property,value,What kind of animals are they? - Dog Cat,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_2,icemr2,,Poultry,,Household,,Inside animals on property,value,What kind of animals are they? - Poultry,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_3,icemr2,,Guinea pigs,,Household,,Inside animals on property,value,What kind of animals are they? – Guinea pigs,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_4,icemr2,,Pig,,Household,,Inside animals on property,value,What kind of animals are they? – Pigs,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_5,icemr2,,Cow,,Household,,Inside animals on property,value,What kind of animals are they? - Cows,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_88,icemr2,,Other,,Household,,Inside animals on property,value,What kind of animals are they? - Other,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_99,icemr2,,Do not know/ Not answer,,Household,,Inside animals on property,value,What kind of animals are they? - Do not know not answer,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_animales,icemr2,  ,"Inside animals on property, specified",What kind of animals are they? specify,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,What kind of animals are they? specify,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
basura_dentro,icemr2,,Visible garbage lying on the floor in house ,Can you see garbage lying on the floor inside the house?,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Can you see garbage lying on the floor inside the house?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
heces_dentro,icemr2,,Visible feces elsewhere in house ,Is there an odor or presence of feces inside the house?,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Is there an odor or presence of feces inside the house?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
orina_dentro,icemr2,,Visible urine elsewhere in house  ,Is there an odor or presence of urine inside the house?,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Is there an odor or presence of urine inside the house?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
animales_fuera,icemr2,,Animals outdoor,Are there animals outside the house? (10 meters around),Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Are there animals outside the house? (10 meters around),0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
animales_fuera_libres,icemr2,,Unlocked outdoor animal,Are they free? (Not locked up) Walking out of the house?,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Are they free? (Not locked up) Walking out of the house?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
,icemr2,,Outside animals on property,What kind of animals are they? ,Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,multifilter,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_fuera_1,icemr2,,Dog or cat,,Household,,Outside animals on property,value,What kind of animals are they? - Dog Cat,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_fuera_2,icemr2,,Poultry,,Household,,Outside animals on property,value,What kind of animals are they? - Poultry,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_fuera_3,icemr2,,Guinea pig,,Household,,Outside animals on property,value,What kind of animals are they? – Guinea pigs,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_fuera_4,icemr2,,Pig,,Household,,Outside animals on property,value,What kind of animals are they? – Pigs,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_fuera_5,icemr2,,Cows,,Household,,Outside animals on property,value,What kind of animals are they? - Cows,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_fuera_88,icemr2,,Other,,Household,,Outside animals on property,value,What kind of animals are they? - Other,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
tipos_animales_fuera_99,icemr2,,Do not know /Not answer,,Household,,Outside animals on property,value,What kind of animals are they? - Do not know not answer,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_animales_fuera,icemr2,,Outside animals on property specified,What kind of animals are they? specify,Household,,Outside animals on property,value,What kind of animals are they? specify,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
basura_fuera,icemr2,,Visible garbage outside the home,Do you see garbage lying on the floor outside the home? (5 meters around),Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Do you see garbage lying on the floor outside the home? (5 meters around),0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
heces_fuera,icemr2,,Visible feces elsewhere outside house,Is there an odor or presence of feces outside the home? (5 meters around),Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Is there an odor or presence of feces outside the home? (5 meters around),0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
orina_fuera,icemr2,,Visible urine elsewhere outside house,Is there an odor or presence of urine outside the home? (5 meters around),Household,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,variable,Is there an odor or presence of urine outside the home? (5 meters around),0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
gps,icemr2,,GPS recording method,GPS recording method,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,GPS recording method,0 = Manual Entry | 1 = GPS device (tablet),,,,,ICEMR2_cross_sectional,,,,,,,,,
lat,icemr2,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,Latitude,Household,,,variable,Latitude,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
long,icemr2,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,Length,Household,,,variable,Length,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
alt,icemr2,,Altitude,Altitude,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,Altitude,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
geohash1,icemr2,http://purl.obolibrary.org/obo/EUPATH_0043203,GEOHASH 1,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,,,,,,ICEMR2_cross_sectional,,,,everywhere,,,,,
geohash2,icemr2,http://purl.obolibrary.org/obo/EUPATH_0043204,GEOHASH 2,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,,,,,,ICEMR2_cross_sectional,,,,everywhere,,,,,
geohash3,icemr2,http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,,,,,,ICEMR2_cross_sectional,,,,everywhere,,,,,
geohash4,icemr2,http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,,,,,,ICEMR2_cross_sectional,,,,everywhere,,,,,
geohash5,icemr2,http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,,,,,,ICEMR2_cross_sectional,,,,everywhere,,,,,
geohash6,icemr2,http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,,Household,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,,,,,,ICEMR2_cross_sectional,,,,everywhere,,,,,
gps_vivaccuracy,icemr2,,GPS accuracy,GPS accuracy,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
resultado_micro,icemr2,,Microscopy result,Microscopy result,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,variable,Microscopy result,1 = Positive | 0 = Negative,,,,,ICEMR2_cross_sectional,,,,,,,,,
especie_micro,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",Species in microscopy,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,Species in microscopy,1 = P. Falciparum | 2 = P. Vivax,,,,,ICEMR2_cross_sectional,,,,,,,,,
den_par_micro,icemr2,,Parasite density,Parasite density uL,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,variable,Parasite density uL,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
den_gam_micro,icemr2,http://purl.obolibrary.org/obo/EUPATH_0023018,"Plasmodium gametocytes, by microscopy result",Gametocyte density uL,Sample,,,variable,Gametocyte density uL,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
cq_final,icemr2,,Final cq,Final cq,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
result_pcr,icemr2,,PCR result,PCR result,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,variable,PCR result,0 = Negative | 1 = P. Falciparum | 2 = P. Vivax,,,,,ICEMR2_cross_sectional,,,,,,,,,
quantity_mol_ul_final,icemr2,,Number of molecules,Number of molecules per uL,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,Number of molecules per uL,NA,,,,,ICEMR2_cross_sectional,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
quantity_par_ul_final,icemr2,,Number of parasites ,Number of parasites per uL,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,Number of parasites per uL,NA,,,,,ICEMR2_cross_sectional,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
