file,uniqueVar,dataSet,variable,values,mappedTerms,valueOrder,dataFile,variable_dataFile,boolean,notes
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Peru,Peru,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Philippines,Philippines,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Rwanda,Rwanda,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Saudi Arabia,Saudi Arabia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Senegal,Senegal,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Sierra Leone,Sierra Leone,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Solomon Islands,Solomon Islands,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,South Africa,South Africa,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,South Sudan,South Sudan,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Sudan,Sudan,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Suriname,Suriname,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Swaziland,Swaziland,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Tanzania,Tanzania,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Thailand,Thailand,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Gambia,Gambia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Togo,Togo,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Uganda,Uganda,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Vanuatu,Vanuatu,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Venezuela,Venezuela,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Viet nam,Vietnam,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Yemen,Yemen,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Zambia,Zambia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Zimbabwe,Zimbabwe,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Ecuador,Ecuador,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Eritrea,Eritrea,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,South sudan,South Sudan,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Libya,Libya,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Viet Nam,Vietnam,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Panama,Panama,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Algeria,Algeria,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Qatar,Qatar,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Botswana,Botswana,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Somalia,Somalia,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::country,WWARN_ACT,country,Nicaragua,Nicaragua,,wwarn_act_wide,country,,
WWARN_ACT_Wide.csv,wwarn_act_wide::publication.year,WWARN_ACT,publication.year,NA,:::UNDEF:::,,wwarn_act_wide,publication.year,,
WWARN_ACT_Wide.csv,wwarn_act_wide::notes,WWARN_ACT,notes,NA,:::UNDEF:::,,wwarn_act_wide,notes,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.smnt,WWARN_ACT,marker.group_pfcrt.smnt,pfcrt 72-76 SxxxT,pfcrt 72-76 SxxxT,,wwarn_act_wide,marker.group_pfcrt.SMNT,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.86y,WWARN_ACT,marker.group_pfmdr1.86y,"c(""pfmdr1 86Y"", ""pfmdr1 86Y"")",pfmdr1 86Y,,wwarn_act_wide,marker.group_pfmdr1.86Y,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.86y,WWARN_ACT,marker.group_pfmdr1.86y,pfmdr1 86Y,pfmdr1 86Y,,wwarn_act_wide,marker.group_pfmdr1.86Y,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.184f,WWARN_ACT,marker.group_pfmdr1.184f,pfmdr1 184F,pfmdr1 184F,,wwarn_act_wide,marker.group_pfmdr1.184F,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.76t,WWARN_ACT,marker.group_pfcrt.76t,pfcrt 76T,pfcrt 76T,,wwarn_act_wide,marker.group_pfcrt.76T,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.1246y,WWARN_ACT,marker.group_pfmdr1.1246y,pfmdr1 1246Y,pfmdr1 1246Y,,wwarn_act_wide,marker.group_pfmdr1.1246Y,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.copy.number..1,WWARN_ACT,marker.group_pfmdr1.copy.number..1,"c(""pfmdr1 copy number >1"", ""pfmdr1 copy number >1"")",pfmdr1 copy number >1,,wwarn_act_wide,marker.group_pfmdr1.copy.number..1,,
