IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0049131,Interval time between randomization and death,WOMAN_Trial_dataset_anonymised::timerandtodeath,,WOMAN_Trial_dataset_anonymised,"Interval time between randomization and death if applicable - in days, hours and minutes ",Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,"interval time between randomisation and death if applicable - in days, hours and minutes",,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049129,Interval time of hysterectomy after randomization,WOMAN_Trial_dataset_anonymised::timehysterectomyafterrand,,WOMAN_Trial_dataset_anonymised,Interval time of hysterectomy after randomization,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,interval time of hysterectomy after randomisation,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049130,Interval time of hysterectomy before randomization,WOMAN_Trial_dataset_anonymised::timehysterectomybeforerand,,WOMAN_Trial_dataset_anonymised,Interval time of hysterectomy before randomization,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,interval time of hysterectomy before randomisation,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049106,Time between randomization and discharge,WOMAN_Trial_dataset_anonymised::daysrandtodischarge,,WOMAN_Trial_dataset_anonymised,Interval time between randomisation and discharge if applicable - in days,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,interval time between randomisation and discharge if applicable - in days,,variable,,,,WOMAN,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049141,Decision to perform a hysterectomy before delivery of baby,WOMAN_Trial_dataset_anonymised::hysterectomydecisionbeforedelive,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,was the decision to perform a hysterectomy taken before delivery of baby,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049142,Decision to perform a hysterectomy before randomization,WOMAN_Trial_dataset_anonymised::hysterectomydecisionbeforerandom,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,was the decision to perform a hysterectomy taken before randomisation,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049140,Hysterectomy,WOMAN_Trial_dataset_anonymised::hysterectomy,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,patient management: hysterectomy performed,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049143,Hysterectomy that was not influenced by a decision predelivery or prerandomization,WOMAN_Trial_dataset_anonymised::hysterectomyinfluenced,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,"hysterectomy that was not influenced by a decision predelivery or prerandomisation - this variable identifies hysterectomies, the decisions for which were made post randomisation. This variable was used for analysis of treatment effect on hysterectomy",,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042001,Labor and delivery,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049144,Reason for performing hysterectomy,WOMAN_Trial_dataset_anonymised::reasonhysterectomy,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,reason for performing hysterectomy,,variable,,,,WOMAN,,,,,,,,,
