variable	variable2	values	mappedTerm	ordinalValue
parish	parish	1031603	Oporot Ward	NA
parish	parish	1031604	Pece Ward	NA
parish	parish	1031701	Atut	NA
parish	parish	1031702	Kal-Agum	NA
parish	parish	1031703	Lamit	NA
parish	parish	1031704	Mura	NA
parish	parish	1031705	Ogole	NA
parish	parish	1031706	Paluti	NA
parish	parish	1031707	Rogo	NA
parish	parish	1031801	Guda Ward	NA
parish	parish	1031802	Kico Ward	NA
parish	parish	1031803	Lubanya Ward	NA
parish	parish	1031804	Panyagol Ward	NA
parish	parish	1040101	Alanyi	NA
parish	parish	1040102	Amononeno	NA
parish	parish	1040103	Angoltok	NA
parish	parish	1040104	Anyiti	NA
parish	parish	1040105	Awapiny	NA
parish	parish	1040106	Awori	NA
parish	parish	1040201	Abangoimany	NA
parish	parish	1040202	Aberidwogo	NA
parish	parish	1040203	Abia	NA
parish	parish	1040204	Atinkok	NA
parish	parish	1040205	Oteno	NA
parish	parish	1040206	Tekulu	NA
parish	parish	1040301	Akura	NA
parish	parish	1040302	Anyanga	NA
parish	parish	1040303	Anyanga B	NA
parish	parish	1040304	Bardago	NA
parish	parish	1040305	Kai	NA
parish	parish	1040306	Otweotoke	NA
parish	parish	1040401	Alyec Ward	NA
parish	parish	1040402	Apado Ward	NA
parish	parish	1040403	Nakabela Ward	NA
parish	parish	1040501	Akwangkel	NA
parish	parish	1040502	Alebtong	NA
parish	parish	1040503	Amuria	NA
parish	parish	1040504	Anara	NA
parish	parish	1040601	Alal Ward	NA
parish	parish	1040602	Anino Ward	NA
parish	parish	1040603	Awiepek Ward	NA
parish	parish	1040604	Imakioboro Ward	NA
parish	parish	1040605	Okoto Ward	NA
parish	parish	1040606	Te-Iconga Ward	NA
parish	parish	1040701	Abongoatin	NA
parish	parish	1040702	Abunga	NA
parish	parish	1040703	Ajonyi	NA
parish	parish	1040704	Omee	NA
parish	parish	1040801	Abiiting	NA
parish	parish	1040802	Amonomito	NA
parish	parish	1040803	Obim	NA
parish	parish	1040804	Okwangole	NA
parish	parish	1040805	Olaoilongo	NA
parish	parish	1040901	Acede	NA
parish	parish	1040902	Ojul	NA
parish	parish	1040903	Olyet	NA
parish	parish	1040904	Owalo	NA
parish	parish	1041001	Abukamola	NA
parish	parish	1041002	Alolololo	NA
parish	parish	1041003	Angetta	NA
parish	parish	1041004	Ocokober	NA
parish	parish	1041005	Oculokori	NA
parish	parish	1041006	Omarari	NA
parish	parish	1050101	Abarikori	NA
parish	parish	1050102	Agikdak	NA
parish	parish	1050103	Alobo-Okwe	NA
parish	parish	1050104	Awonangiro	NA
parish	parish	1050201	Agwenonywal	NA
parish	parish	1050202	Agwingiri	NA
parish	parish	1050203	Alemere	NA
parish	parish	1050204	Alyecmeda	NA
parish	parish	1050205	Amolatar	NA
parish	parish	1050206	Nalubwoyo	NA
parish	parish	1050301	Abalodyang	NA
parish	parish	1050302	Akwon	NA
parish	parish	1050303	Aromi	NA
parish	parish	1050304	Okiji	NA
parish	parish	1050401	Aburkot Ward	NA
parish	parish	1050402	Amirimiri Ward	NA
parish	parish	1050403	Apale Pe Ward	NA
parish	parish	1050404	Epyel Ward	NA
parish	parish	1050405	Inomo Ward	NA
parish	parish	1050501	Adonyimo	NA
parish	parish	1050502	Akuriluba	NA
parish	parish	1050503	Amai	NA
parish	parish	1050504	Anywali	NA
parish	parish	1050505	Opali	NA
parish	parish	1050506	Otira	NA
parish	parish	1050601	Abeja	NA
parish	parish	1050602	Aburkidi	NA
parish	parish	1050603	Abwong	NA
parish	parish	1050604	Akol	NA
parish	parish	1050605	Arwotcek	NA
parish	parish	1050606	Otangocinge	NA
parish	parish	1050701	Akongomit	NA
parish	parish	1050702	Anamwany	NA
parish	parish	1050703	Atero	NA
parish	parish	1050704	Atomoro	NA
parish	parish	1050705	Odyedo	NA
parish	parish	1050801	Abwockwar	NA
parish	parish	1050802	Anamido	NA
parish	parish	1050803	Awiodyek	NA
parish	parish	1050901	Adum Ward	NA
parish	parish	1050902	Alaro Ward	NA
parish	parish	1050903	Arwot Ward	NA
parish	parish	1050904	Chakwara Ward	NA
parish	parish	1050905	Etam Ward	NA
parish	parish	1051001	Abarler	NA
parish	parish	1051002	Kabangala	NA
parish	parish	1051003	Muntu	NA
parish	parish	1051004	Nakatiti	NA
parish	parish	1051005	Odiak	NA
parish	parish	1051101	Acii	NA
parish	parish	1051102	Awikori	NA
parish	parish	1051103	Bangladesh	NA
parish	parish	1051104	Izigwe	NA
parish	parish	1051105	Kikondo	NA
parish	parish	1051106	Nabweyo	NA
parish	parish	1051107	Olyaka	NA
parish	parish	1051201	Aweipeko Ward	NA
parish	parish	1051202	Central Ward	NA
parish	parish	1051203	Kayago Ward	NA
parish	parish	1051204	Wabinua Ward	NA
parish	parish	1060101	Amudat	NA
parish	parish	1060102	Katabok	NA
parish	parish	1060103	Loburin	NA
parish	parish	1060201	Jumbe Ward	NA
parish	parish	1060202	Kalas Ward	NA
parish	parish	1060203	Lochengenge Ward	NA
parish	parish	1060204	Tingas Ward	NA
parish	parish	1060301	Karita	NA
parish	parish	1060302	Lokales	NA
parish	parish	1060303	Losidok	NA
parish	parish	1060401	Abiliyep	NA
parish	parish	1060402	Achorichor	NA
parish	parish	1060403	Loroo	NA
parish	parish	1070101	Arute	NA
parish	parish	1070102	Asilang	NA
parish	parish	1070103	Dodos	NA
parish	parish	1070104	Katine	NA
parish	parish	1070105	Ocal	NA
parish	parish	1070106	Olelai	NA
parish	parish	1070201	Acinga	NA
parish	parish	1070202	Acowa	NA
parish	parish	1070203	Akum	NA
parish	parish	1070204	Amero	NA
parish	parish	1070205	Angerepo	NA
parish	parish	1070206	Angolebwal	NA
parish	parish	1070301	Aita	NA
parish	parish	1070302	Akeriau	NA
parish	parish	1070303	Okude	NA
parish	parish	1070304	Otubet	NA
parish	parish	1070305	Temele	NA
parish	parish	1070401	Akore	NA
parish	parish	1070402	Akoromit	NA
parish	parish	1070403	Aminito	NA
parish	parish	1070404	Kobuin	NA
parish	parish	1070405	Olekat	NA
parish	parish	1070501	Akisim Ward	NA
parish	parish	1070502	Alira Ward	NA
parish	parish	1070503	Eastern Ward	NA
parish	parish	1070504	Okutoi Ward	NA
parish	parish	1070601	Ajaki	NA
parish	parish	1070602	Amucu	NA
parish	parish	1070603	Apeduru	NA
parish	parish	1070604	Odoon	NA
parish	parish	1070605	Omariai	NA
parish	parish	1070701	Aparisa	NA
parish	parish	1070702	Asamuk	NA
parish	parish	1070703	Atirir	NA
parish	parish	1070704	Dokolo	NA
parish	parish	1070705	Obur	NA
parish	parish	1070706	Ojamai	NA
parish	parish	1070707	Olekai	NA
parish	parish	1070801	Amaseniko	NA
parish	parish	1070802	Amemia	NA
parish	parish	1070803	Atiira	NA
parish	parish	1070804	Kapelebyong	NA
parish	parish	1070805	Nyada	NA
parish	parish	1070806	Okoboi	NA
parish	parish	1070901	Abia	NA
parish	parish	1070902	Agwara	NA
parish	parish	1070903	Amilimil	NA
parish	parish	1070904	Amusus	NA
parish	parish	1070905	Aojakitoi	NA
parish	parish	1070906	Kuju	NA
parish	parish	1071001	Awelu	NA
parish	parish	1071002	Ayola	NA
parish	parish	1071003	Morungatuny	NA
parish	parish	1071004	Ogangai	NA
parish	parish	1071005	Ojukot	NA
parish	parish	1071006	Olwa/Olusa	NA
parish	parish	1071101	Akileng	NA
parish	parish	1071102	Alito	NA
parish	parish	1071103	Alupe	NA
parish	parish	1071104	Labira	NA
parish	parish	1071105	Obalanga	NA
parish	parish	1071106	Opot	NA
parish	parish	1071201	Abeko	NA
parish	parish	1071202	Akore	NA
parish	parish	1071203	Ococia	NA
parish	parish	1071204	Odepe	NA
parish	parish	1071205	Ogolai	NA
parish	parish	1071301	Agonga	NA
parish	parish	1071302	Airabet	NA
parish	parish	1071303	Akodokodoi	NA
parish	parish	1071304	Amootom	NA
parish	parish	1071305	Aridai	NA
parish	parish	1071306	Odiding	NA
parish	parish	1071401	Adakun	NA
parish	parish	1071402	Moruinera	NA
parish	parish	1071403	Ogongora	NA
parish	parish	1071404	Omoratok	NA
parish	parish	1071405	Orungo	NA
parish	parish	1071501	Amolo	NA
parish	parish	1071502	Angole	NA
parish	parish	1071503	Aten	NA
parish	parish	1071504	Golokwara	NA
parish	parish	1071505	Opam	NA
parish	parish	1071506	Sugur	NA
parish	parish	1071507	Wera	NA
parish	parish	1071601	Abwanget	NA
parish	parish	1071602	Akisim	NA
parish	parish	1071603	Akum	NA
parish	parish	1071604	Alere	NA
parish	parish	1071605	Wila	NA
parish	parish	1080101	Acwera	NA
parish	parish	1080102	Okungedi	NA
parish	parish	1080103	Pagak	NA
parish	parish	1080104	Pailyec	NA
parish	parish	1080105	Pamuca	NA
parish	parish	1080106	Toro	NA
parish	parish	1080201	Amoyokoma Ward	NA
parish	parish	1080202	Lujoro Ward	NA
parish	parish	1080203	Otwee Ward	NA
parish	parish	1080204	Pogi Ward	NA
parish	parish	1080301	Kal(Atiak)	NA
parish	parish	1080302	Okidi	NA
parish	parish	1080303	Pacilo	NA
parish	parish	1080304	Palukere	NA
parish	parish	1080305	Parwaca	NA
parish	parish	1080306	Pawel	NA
parish	parish	1080307	Pupwonya	NA
parish	parish	1080401	Bibia Ward	NA
parish	parish	1080402	Elegu Lorikwo Ward	NA
parish	parish	1080403	Kaladima Ward	NA
parish	parish	1080501	Agwaryugi	NA
parish	parish	1080502	Coke	NA
parish	parish	1080503	Giragira	NA
parish	parish	1080504	Guruguru	NA
parish	parish	1080505	Lacor	NA
parish	parish	1080506	Obbo	NA
parish	parish	1080507	Pagoro	NA
parish	parish	1080508	Palema	NA
parish	parish	1080601	Gaya	NA
parish	parish	1080602	Kal	NA
parish	parish	1080603	Labala	NA
parish	parish	1080604	Palwong	NA
parish	parish	1080605	Parubanga	NA
parish	parish	1080606	Pogo	NA
parish	parish	1080701	Layik Ward	NA
parish	parish	1080702	Luzira Ward	NA
parish	parish	1080703	Pabbo Central Ward	NA
parish	parish	1090101	Abany	NA
parish	parish	1090102	Abwong	NA
parish	parish	1090103	Acungi	NA
parish	parish	1090104	Aderolongo	NA
parish	parish	1090105	Agwa	NA
parish	parish	1090106	Akali	NA
parish	parish	1090107	Amorigoga	NA
parish	parish	1090108	Teioro	NA
parish	parish	1090201	Aboko	NA
parish	parish	1090202	Adyeda	NA
parish	parish	1090203	Alira	NA
parish	parish	1090204	Apire	NA
parish	parish	1090205	Ongoceng	NA
parish	parish	1090301	Ikwera Ward	NA
parish	parish	1090302	Teduka Ward	NA
parish	parish	1090401	Aminteng	NA
parish	parish	1090402	Awir Ward	NA
parish	parish	1090403	Odokomac	NA
parish	parish	1090404	Te-Ibu Ward	NA
parish	parish	1090405	Wormwaka Ward	NA
parish	parish	1090501	Angayiki Ward	NA
parish	parish	1090502	Ayera Ward	NA
parish	parish	1090503	Central Ward	NA
parish	parish	1090504	Dam Ward	NA
parish	parish	1090601	Akokoro	NA
parish	parish	1090602	Alaro	NA
parish	parish	1090603	Amun	NA
parish	parish	1090604	Apoi	NA
parish	parish	1090605	Awila	NA
parish	parish	1090606	Ayago	NA
parish	parish	1090607	Ayeolyec	NA
parish	parish	1090608	Kungu	NA
parish	parish	1090701	Abedi	NA
parish	parish	1090702	Akere	NA
parish	parish	1090703	Atana	NA
parish	parish	1090704	Atopi	NA
parish	parish	1090705	Atik	NA
parish	parish	1090801	Adok Ward	NA
parish	parish	1090802	Atopi Ward	NA
parish	parish	1090803	Barodong Ward	NA
parish	parish	1090804	Ngec Ward	NA
parish	parish	1090805	Owang Ward	NA
parish	parish	1090806	Oyo Ward	NA
parish	parish	1090807	Temogo Ward	NA
parish	parish	1090901	Bardek Ward	NA
parish	parish	1090902	Bung Ward	NA
parish	parish	1090903	Industrial Ward	NA
parish	parish	1090904	Olili Ward	NA
parish	parish	1091001	Ayabi Ward	NA
parish	parish	1091002	Central Ward	NA
parish	parish	1091003	Punuatar Ward	NA
parish	parish	1091101	Acenlworo	NA
parish	parish	1091102	Ajar	NA
parish	parish	1091103	Alido	NA
parish	parish	1091104	Atongtidi	NA
parish	parish	1091105	Atule	NA
parish	parish	1091106	Iwal	NA
parish	parish	1091201	Adem	NA
parish	parish	1091202	Agong	NA
parish	parish	1091203	Atigolwok	NA
parish	parish	1091204	Barodilo	NA
parish	parish	1091205	Chegere	NA
parish	parish	1091206	Ilee	NA
parish	parish	1091207	Kidilani	NA
parish	parish	1091208	Ololango	NA
parish	parish	1091209	Ongica	NA
parish	parish	1091210	Teboke	NA
parish	parish	1091301	Aganga	NA
parish	parish	1091302	Aketo	NA
parish	parish	1091303	Alworoceng	NA
parish	parish	1091304	Amii-Aberidwogo	NA
parish	parish	1091305	Amii-Amilo	NA
parish	parish	1091306	Tarogali	NA
parish	parish	1091401	Aberidwogo Ward	NA
parish	parish	1091402	Alenga Ward	NA
parish	parish	1091501	Agwiciri	NA
parish	parish	1091502	Ajok	NA
parish	parish	1091503	Aluka	NA
parish	parish	1091504	Banya	NA
parish	parish	1091601	Eastern Ward	NA
parish	parish	1091602	Western Ward	NA
parish	parish	1091701	Abuli	NA
parish	parish	1091702	Acaba	NA
parish	parish	1091703	Anwangi	NA
parish	parish	1091704	Aornga	NA
parish	parish	1091705	Bung	NA
parish	parish	1091706	Etekiber	NA
parish	parish	1091707	Ogwil	NA
parish	parish	1091708	Owiny	NA
parish	parish	1091801	Eastern Ward	NA
parish	parish	1091802	Western Ward	NA
parish	parish	1100101	Anyara	NA
parish	parish	1100102	Kati	NA
parish	parish	1100103	Mite	NA
parish	parish	1100104	Nyiovura	NA
parish	parish	1100105	Ombachi	NA
parish	parish	1100201	Alia	NA
parish	parish	1100202	Aripia	NA
parish	parish	1100203	Ayuri	NA
parish	parish	1100204	Erea	NA
parish	parish	1100205	Idayi	NA
parish	parish	1100206	Onai	NA
parish	parish	1100207	Onzoro	NA
parish	parish	1100208	Otrevu	NA
parish	parish	1100209	Paranga	NA
parish	parish	1100301	Ajia	NA
parish	parish	1100302	Alivu	NA
parish	parish	1100303	Ayaa	NA
parish	parish	1100304	Ayaa-Yia	NA
parish	parish	1100305	Ewaa	NA
parish	parish	1100306	Nyirivu	NA
parish	parish	1100307	Ochoko	NA
parish	parish	1100308	Olevu	NA
parish	parish	1100309	Ombokoro	NA
parish	parish	1100401	Ayuu	NA
parish	parish	1100402	Bondo	NA
parish	parish	1100403	Omii	NA
parish	parish	1100404	Yilli	NA
parish	parish	1100501	Awika	NA
parish	parish	1100502	Eceko	NA
parish	parish	1100503	Ombavu	NA
parish	parish	1100504	Omoo	NA
parish	parish	1100505	Pajuru	NA
parish	parish	1100506	Ulupi	NA
parish	parish	1100601	Aliba	NA
parish	parish	1100602	Alivu	NA
parish	parish	1100603	Bura	NA
parish	parish	1100604	Kamule	NA
parish	parish	1100605	Micu	NA
parish	parish	1100606	Robu	NA
parish	parish	1100701	Awindiri	NA
parish	parish	1100702	Basaar	NA
parish	parish	1100703	Mvara	NA
parish	parish	1100801	Anzu	NA
parish	parish	1100802	Kubo	NA
parish	parish	1100803	Mbaraka	NA
parish	parish	1100804	Olevu	NA
parish	parish	1100901	Abindi	NA
parish	parish	1100902	Adripi	NA
parish	parish	1100903	Ajiraku	NA
parish	parish	1100904	Nicu	NA
parish	parish	1101001	Arivu	NA
parish	parish	1101002	Ariwara	NA
parish	parish	1101003	Luvu	NA
parish	parish	1101004	Odravu	NA
parish	parish	1101005	Oduluba	NA
parish	parish	1101006	Tanganyika	NA
parish	parish	1101007	Yapi	NA
parish	parish	1101101	Dumunga	NA
parish	parish	1101102	Ewanguru	NA
parish	parish	1101103	Kiranga	NA
parish	parish	1101104	Roga	NA
parish	parish	1101105	Waka-Dinya	NA
parish	parish	1101201	Anavu	NA
parish	parish	1101202	Ocopi	NA
parish	parish	1101203	Okavu	NA
parish	parish	1101204	Olea	NA
parish	parish	1101205	Olua	NA
parish	parish	1101206	Onzoro	NA
parish	parish	1101301	Anyavu	NA
parish	parish	1101302	Chiaba	NA
parish	parish	1101303	Jiki	NA
parish	parish	1101304	Lazebu	NA
parish	parish	1101305	Okavu	NA
parish	parish	1101306	Oliba	NA
parish	parish	1101307	Ozoo	NA
parish	parish	1101401	Eleku	NA
parish	parish	1101402	Ewadri	NA
parish	parish	1101403	Lufe	NA
parish	parish	1101404	Odravu	NA
parish	parish	1101405	Ombachi	NA
parish	parish	1101406	Ombokoro	NA
parish	parish	1101407	Oreku	NA
parish	parish	1101408	Robu	NA
parish	parish	1101501	Azaapi	NA
parish	parish	1101502	Imvepi	NA
parish	parish	1101503	Lugbari	NA
parish	parish	1101504	Okavu	NA
parish	parish	1101505	Ombokoro	NA
parish	parish	1101506	Orivu	NA
parish	parish	1101507	Otumbari	NA
parish	parish	1101601	Adraa	NA
parish	parish	1101602	Elibu	NA
parish	parish	1101603	Ocebu	NA
parish	parish	1101604	Oribu	NA
parish	parish	1101701	Ayavu	NA
parish	parish	1101702	Enyio	NA
parish	parish	1101703	Olali	NA
parish	parish	1101704	Pamvara	NA
parish	parish	1101705	Yachi	NA
parish	parish	1101801	Ajibu	NA
parish	parish	1101802	Baito	NA
parish	parish	1101803	Okollo	NA
parish	parish	1101804	Onyomu	NA
parish	parish	1101901	Kenya	NA
parish	parish	1101902	Pangisa	NA
parish	parish	1101903	Tanganyika	NA
parish	parish	1102001	Ambeko	NA
parish	parish	1102002	Anipi	NA
parish	parish	1102003	Bunyu	NA
parish	parish	1102004	Nyio	NA
parish	parish	1102005	Ombokoro	NA
parish	parish	1102006	Onzivu	NA
parish	parish	1102007	Turu	NA
parish	parish	1102008	Wandi	NA
parish	parish	1102009	Yabiavoko	NA
parish	parish	1102101	Angazi	NA
parish	parish	1102102	Anyufira	NA
parish	parish	1102103	Bura	NA
parish	parish	1102104	Duku	NA
parish	parish	1102105	Ndaapi	NA
parish	parish	1102106	Obi	NA
parish	parish	1102107	Owayi	NA
parish	parish	1102108	Yiddu	NA
parish	parish	1102201	Adalafu	NA
parish	parish	1102202	Alivu	NA
parish	parish	1102203	Driwala	NA
parish	parish	1102204	Etori	NA
parish	parish	1102205	Komite	NA
parish	parish	1102206	Nyaracu	NA
parish	parish	1102207	Orugbo	NA
parish	parish	1102208	Pokea	NA
parish	parish	1102209	Yivu	NA
parish	parish	1102301	Ndavu	NA
parish	parish	1102302	Olyevu	NA
parish	parish	1102303	Panduku	NA
parish	parish	1102304	Parabok	NA
parish	parish	1102401	Anipi	NA
parish	parish	1102402	Awuvu	NA
parish	parish	1102403	Bandili	NA
