colOrder,variable,uniqueVar,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag
8,assydt,ext_crypt_cs_stool_iga_month4::assydt,ext_crypt_cs_stool_iga_month4,discard,,Assay Date,,,duplicated variable,,
12,comnt,ext_crypt_cs_stool_iga_month4::comnt,ext_crypt_cs_stool_iga_month4,discard,,Comment,,,duplicated variable,,
1,pid,ext_crypt_cs_stool_iga_month4::pid,ext_crypt_cs_stool_iga_month4,discard,,Child ID,,,duplicated variable,,
10,rept,ext_crypt_cs_stool_iga_month4::rept,ext_crypt_cs_stool_iga_month4,discard,,Do you need to Repeat Sample?,"1 = Yes, 2 = No",,duplicated variable,,
11,resn,ext_crypt_cs_stool_iga_month4::resn,ext_crypt_cs_stool_iga_month4,discard,,Reason for repeating,"3=Sample out of range, 4 = Assay failed, -9 = Not applicable",,no data,,
2,site,ext_crypt_cs_stool_iga_month4::site,ext_crypt_cs_stool_iga_month4,keep,,Site,"1=Mirpur, 2=Mirzapur",,duplicated variable,,
7,specdt,ext_crypt_cs_stool_iga_month4::specdt,ext_crypt_cs_stool_iga_month4,keep,,Date of specimen collection,,,duplicated variable,,
3,specnum,ext_crypt_cs_stool_iga_month4::specnum,ext_crypt_cs_stool_iga_month4,keep,,Specimen number,10=Infant Stool,,duplicated variable,,
5,specseq,ext_crypt_cs_stool_iga_month4::specseq,ext_crypt_cs_stool_iga_month4,keep,,Specimen sequence,4= Month4,,duplicated variable,,
4,spectype,ext_crypt_cs_stool_iga_month4::spectype,ext_crypt_cs_stool_iga_month4,keep,,Specimen type,,,duplicated variable,,
9,stigaod,ext_crypt_cs_stool_iga_month4::stigaod,ext_crypt_cs_stool_iga_month4,keep,,Crypto Stool IgA OD at 405nm,#NAME?,,duplicated variable,,
6,adenovirus.40.41,ext_crypt_cs_tac::adenovirus.40.41,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
7,adenovirus.pan,ext_crypt_cs_tac::adenovirus.pan,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
85,adenovirus_40_41_afe,ext_crypt_cs_tac::adenovirus_40_41_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
29,aeromo.9s,ext_crypt_cs_tac::aeromo.9s,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
86,aeromonas_afe,ext_crypt_cs_tac::aeromonas_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
4,aged,ext_crypt_cs_tac::aged,ext_crypt_cs_tac,keep,,Age in Days,Integer,,duplicated variable,,
30,ancyclostoma,ext_crypt_cs_tac::ancyclostoma,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
31,ascaris,ext_crypt_cs_tac::ascaris,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
8,astrovirus,ext_crypt_cs_tac::astrovirus,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
87,astrovirus_afe,ext_crypt_cs_tac::astrovirus_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
32,bfragilis,ext_crypt_cs_tac::bfragilis,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
33,blastocystis,ext_crypt_cs_tac::blastocystis,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
88,c_jejuni_coli_afe,ext_crypt_cs_tac::c_jejuni_coli_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
35,campylobacter.jejuni.coli,ext_crypt_cs_tac::campylobacter.jejuni.coli,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
36,campylobacter.pan,ext_crypt_cs_tac::campylobacter.pan,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
34,cdifficile,ext_crypt_cs_tac::cdifficile,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
37,cryptosporidium,ext_crypt_cs_tac::cryptosporidium,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
38,cryptosporidium.hominis,ext_crypt_cs_tac::cryptosporidium.hominis,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
39,cryptosporidium.parvum,ext_crypt_cs_tac::cryptosporidium.parvum,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
89,cryptosporidium_afe,ext_crypt_cs_tac::cryptosporidium_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
40,cyclospora,ext_crypt_cs_tac::cyclospora,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
90,cyclospora_afe,ext_crypt_cs_tac::cyclospora_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
3,dsno,ext_crypt_cs_tac::dsno,ext_crypt_cs_tac,keep,,"Diarrheal Sample no 01,02,03ÉÉÉÉÉ",,,duplicated variable,,
91,e_histolytica_afe,ext_crypt_cs_tac::e_histolytica_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
44,eaec.call,ext_crypt_cs_tac::eaec.call,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
45,eaec_aaic,ext_crypt_cs_tac::eaec_aaic,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
46,eaec_aata,ext_crypt_cs_tac::eaec_aata,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
99,eaec_afe,ext_crypt_cs_tac::eaec_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
41,ebieneusi,ext_crypt_cs_tac::ebieneusi,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
42,ehistolytica,ext_crypt_cs_tac::ehistolytica,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
43,eintesti.9lis,ext_crypt_cs_tac::eintesti.9lis,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
47,epec.call,ext_crypt_cs_tac::epec.call,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
48,epec_bfpa,ext_crypt_cs_tac::epec_bfpa,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
49,epec_eae,ext_crypt_cs_tac::epec_eae,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
56,etec.call,ext_crypt_cs_tac::etec.call,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
50,etec_cfa,ext_crypt_cs_tac::etec_cfa,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
51,etec_cs1,ext_crypt_cs_tac::etec_cs1,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
52,etec_cs2,ext_crypt_cs_tac::etec_cs2,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
53,etec_cs3,ext_crypt_cs_tac::etec_cs3,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
54,etec_cs5,ext_crypt_cs_tac::etec_cs5,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
55,etec_cs6,ext_crypt_cs_tac::etec_cs6,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
57,etec_lt,ext_crypt_cs_tac::etec_lt,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
58,etec_sth,ext_crypt_cs_tac::etec_sth,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
59,etec_stp,ext_crypt_cs_tac::etec_stp,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
61,giardia.a,ext_crypt_cs_tac::giardia.a,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
62,giardia.b,ext_crypt_cs_tac::giardia.b,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
60,giardia.call,ext_crypt_cs_tac::giardia.call,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
63,glow,ext_crypt_cs_tac::glow,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
64,h.9.9,ext_crypt_cs_tac::h.9.9,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
65,hpylori,ext_crypt_cs_tac::hpylori,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
66,hs99999901_s1,ext_crypt_cs_tac::hs99999901_s1,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
67,isospora,ext_crypt_cs_tac::isospora,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
92,isospora_afe,ext_crypt_cs_tac::isospora_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
102,lt_etec_afe,ext_crypt_cs_tac::lt_etec_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
25,ms2,ext_crypt_cs_tac::ms2,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
26,ms2_repeat,ext_crypt_cs_tac::ms2_repeat,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
68,mtuberculosis,ext_crypt_cs_tac::mtuberculosis,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
69,necator,ext_crypt_cs_tac::necator,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
9,norovirus.gi,ext_crypt_cs_tac::norovirus.gi,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
10,norovirus.gi1,ext_crypt_cs_tac::norovirus.gi1,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
11,norovirus.gii,ext_crypt_cs_tac::norovirus.gii,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
12,norovirus.gii4,ext_crypt_cs_tac::norovirus.gii4,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
93,norovirus_gii_afe,ext_crypt_cs_tac::norovirus_gii_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
70,pan.entamoeba,ext_crypt_cs_tac::pan.entamoeba,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
27,phhv,ext_crypt_cs_tac::phhv,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
28,phhv_repeat,ext_crypt_cs_tac::phhv_repeat,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
1,pid,ext_crypt_cs_tac::pid,ext_crypt_cs_tac,discard,,Study Identification,Only kids > 3000 and < 3500 series in Site 1 were assayed,,duplicated variable,,
71,plesiomo.9s,ext_crypt_cs_tac::plesiomo.9s,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
13,rotavirus,ext_crypt_cs_tac::rotavirus,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
14,rotavirus.g4,ext_crypt_cs_tac::rotavirus.g4,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
15,rotavirus.p4,ext_crypt_cs_tac::rotavirus.p4,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
16,rotavirus.p6,ext_crypt_cs_tac::rotavirus.p6,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
17,rotavirus.p8,ext_crypt_cs_tac::rotavirus.p8,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
94,rotavirus_afe,ext_crypt_cs_tac::rotavirus_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
18,rotavirus_g1,ext_crypt_cs_tac::rotavirus_g1,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
19,rotavirus_g12,ext_crypt_cs_tac::rotavirus_g12,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
20,rotavirus_g2,ext_crypt_cs_tac::rotavirus_g2,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
21,rotavirus_g3,ext_crypt_cs_tac::rotavirus_g3,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
22,rotavirus_g8,ext_crypt_cs_tac::rotavirus_g8,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
23,rotavirus_g9,ext_crypt_cs_tac::rotavirus_g9,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
72,salmonella,ext_crypt_cs_tac::salmonella,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
95,salmonella_afe,ext_crypt_cs_tac::salmonella_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
24,sapovirus,ext_crypt_cs_tac::sapovirus,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
96,sapovirus_afe,ext_crypt_cs_tac::sapovirus_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
73,schistosoma,ext_crypt_cs_tac::schistosoma,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
77,shigella.eiec,ext_crypt_cs_tac::shigella.eiec,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
74,shigella.flexneri.6,ext_crypt_cs_tac::shigella.flexneri.6,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
75,shigella.flexneri.non6,ext_crypt_cs_tac::shigella.flexneri.non6,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
76,shigella.sonnei,ext_crypt_cs_tac::shigella.sonnei,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
78,shigella_clade.1,ext_crypt_cs_tac::shigella_clade.1,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
97,shigella_eiec_afe,ext_crypt_cs_tac::shigella_eiec_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
2,site,ext_crypt_cs_tac::site,ext_crypt_cs_tac,keep,,study site,1=Mirpur,,duplicated variable,,
5,specdt,ext_crypt_cs_tac::specdt,ext_crypt_cs_tac,keep,,Date of collection,Episodes during first 2 years of life,,duplicated variable,,
101,st_etec_afe,ext_crypt_cs_tac::st_etec_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
79,stec_call,ext_crypt_cs_tac::stec_call,ext_crypt_cs_tac,keep,,stx1 and/or stx2 (The reported Ct is the lowest Ct of the targets (the larger burden),Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
80,stec_stx1,ext_crypt_cs_tac::stec_stx1,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
81,stec_stx2,ext_crypt_cs_tac::stec_stx2,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
82,strongyloides,ext_crypt_cs_tac::strongyloides,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
100,tepec_afe,ext_crypt_cs_tac::tepec_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
83,trichuris,ext_crypt_cs_tac::trichuris,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
98,v_cholerae_afe,ext_crypt_cs_tac::v_cholerae_afe,ext_crypt_cs_tac,keep,,Attributable fraction (AFe) which incorporate both the frequency of pathogen detection in diarrhoea and the association between pathogen quantity and diarrhoea. Lancet Glob Health. 2018 Dec;6(12):e1309-e1318.,"Afe, a number that ranges from 0 to 1, higher = more attributable. Often used an AFe of 0.5 or greater to identify episodes that are considered attributable ",,,,
84,vcholerae,ext_crypt_cs_tac::vcholerae,ext_crypt_cs_tac,keep,,Target name,Ct Value 40 = 'Not detected' ; Ct Values  >0 & < 35=Positive; -9 = not available in well,,,,
6,aged,ext_crypt_cs_zn::aged,ext_crypt_cs_zn,keep,,Age in Days,,,duplicated variable,,
8,assydt,ext_crypt_cs_zn::assydt,ext_crypt_cs_zn,discard,,Assay Date,,,duplicated variable,,
13,batch,ext_crypt_cs_zn::batch,ext_crypt_cs_zn,discard,,Batch number,,,duplicated variable,,
12,comnt,ext_crypt_cs_zn::comnt,ext_crypt_cs_zn,discard,,Comment,,,duplicated variable,,
1,pid,ext_crypt_cs_zn::pid,ext_crypt_cs_zn,discard,,Child ID,,,duplicated variable,,
10,rept,ext_crypt_cs_zn::rept,ext_crypt_cs_zn,discard,,Do you need to Repeat Sample?,"1 = Yes, 2 = No",,duplicated variable,,
11,resn,ext_crypt_cs_zn::resn,ext_crypt_cs_zn,discard,,Reason for repeating,"3=Sample out of range, 4 = Assay failed, -9 = Not applicable",,no data,,
2,site,ext_crypt_cs_zn::site,ext_crypt_cs_zn,keep,,Site,"1=Mirpur, 2=Mirzapur",,duplicated variable,,
7,specdt,ext_crypt_cs_zn::specdt,ext_crypt_cs_zn,keep,,Date of specimen collection,,,duplicated variable,,
3,specnum,ext_crypt_cs_zn::specnum,ext_crypt_cs_zn,keep,,Specimen number,33=Infant Blood,,duplicated variable,,
4,specseq,ext_crypt_cs_zn::specseq,ext_crypt_cs_zn,keep,,Specimen sequence,1= Week 18,,duplicated variable,,
5,spectype,ext_crypt_cs_zn::spectype,ext_crypt_cs_zn,keep,,Specimen type,,,duplicated variable,,
9,zn,ext_crypt_cs_zn::zn,ext_crypt_cs_zn,keep,,Zinc ug/L,#NAME?,,,,
6,dehyd,ext_crypt_ctreat::dehyd,ext_crypt_ctreat,keep,,Dehydration (Codes are below):,"0=No Sign; 1=Some sign; 2=Severe sign; 9=Child was not stable, cannot perform observation.",,duplicated variable,,
2,dov,ext_crypt_ctreat::dov,ext_crypt_ctreat,keep,,Date of visit [Medicine start date],,,duplicated variable,,
10,enddate1,ext_crypt_ctreat::enddate1,ext_crypt_ctreat,keep,,Â Medicine end date of Treat1,,,,,
12,enddate2,ext_crypt_ctreat::enddate2,ext_crypt_ctreat,keep,,Medicine end date of Treat2,,,,,
14,enddate3,ext_crypt_ctreat::enddate3,ext_crypt_ctreat,discard,,Medicine end date of Treat3,,,no data,,
16,enddate4,ext_crypt_ctreat::enddate4,ext_crypt_ctreat,keep,,Medicine end date of Treat4,,,,,
