"colOrder","variable","uniqueVar","dataFile","IRI","label","definition","parentLabel","parentIRI","category","codebookDescription","notesForDL","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","type","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType","flag"
5,"dov","ext_crypt_ari::dov","ext_crypt_ari","","","","","","","Date of visit","","","","","","","","","","","","","","","",""
3,"pmonthno","ext_crypt_ari::pmonthno","ext_crypt_ari","","","","","","","Month","","","","","","","","","","","","","","","",""
35,"pq21","ext_crypt_ari::pq21","ext_crypt_ari","","","","","","","How sick was your child?","","","","","","","","","","","","","","","",""
36,"pq22","ext_crypt_ari::pq22","ext_crypt_ari","","","","","","","Is your child exposed to secondary tobacco smoke?","","","","","","","","","","","","","","","",""
37,"pq23","ext_crypt_ari::pq23","ext_crypt_ari","","","","","","","In the 3 days before symptioms onset, had anyone at home had similar symptoms?","","","","","","","","","","","","","","","",""
38,"pq24","ext_crypt_ari::pq24","ext_crypt_ari","","","","","","","In the 3 days before symptoms onset, had your child been close (<1 meter) to anyone similar symptom outside the home?","","","","","","","","","","","","","","","",""
39,"pq25","ext_crypt_ari::pq25","ext_crypt_ari","","","","","","","If pq24 is yes, where","","","","","","","","","","","","","","","",""
40,"pq25other","ext_crypt_ari::pq25other","ext_crypt_ari","","","","","","","Specify if your child been close to anyone similar symptoms outside the home","","","","","","","","","","","","","","","",""
41,"pq26","ext_crypt_ari::pq26","ext_crypt_ari","","","","","","","Weight (kg) of the child","","","","","","","","","","","","","","","",""
42,"pq27","ext_crypt_ari::pq27","ext_crypt_ari","","","","","","","Respiratory rate (per minute)","","","","","","","","","","","","","","","",""
43,"pq28","ext_crypt_ari::pq28","ext_crypt_ari","","","","","","","Temperature (Â°C)","","","","","","","","","","","","","","","",""
44,"pq29","ext_crypt_ari::pq29","ext_crypt_ari","","","","","","","Pulse (per minute)","","","","","","","","","","","","","","","",""
6,"pq3","ext_crypt_ari::pq3","ext_crypt_ari","","","","","","","Time of visit (0-24 hours)","","","","","","","","","","","","","","","",""
45,"pq30","ext_crypt_ari::pq30","ext_crypt_ari","","","","","","","Breath sound","","","","","","","","","","","","","","","",""
46,"pq31","ext_crypt_ari::pq31","ext_crypt_ari","","","","","","","Wide spread wheeze on auscultation","","","","","","","","","","","","","","","",""
47,"pq32","ext_crypt_ari::pq32","ext_crypt_ari","","","","","","","Clinical diagnosis","","","","","","","","","","","","","","","",""
49,"pq33","ext_crypt_ari::pq33","ext_crypt_ari","","","","","","","Have nasal wash specimen collected?","","","","","","","","","","","","","","","",""
8,"pqsym_1","ext_crypt_ari::pqsym_1","ext_crypt_ari","","","","","","","Onset date of subjective fever","","","","","","","","","","","","","","","",""
26,"pqsym_10","ext_crypt_ari::pqsym_10","ext_crypt_ari","","","","","","","Onset date of convulsion","","","","","","","","","","","","","","","",""
28,"pqsym_11","ext_crypt_ari::pqsym_11","ext_crypt_ari","","","","","","","Onset date of lethargy","","","","","","","","","","","","","","","",""
30,"pqsym_12","ext_crypt_ari::pqsym_12","ext_crypt_ari","","","","","","","Onset date of decreased activity","","","","","","","","","","","","","","","",""
32,"pqsym_13","ext_crypt_ari::pqsym_13","ext_crypt_ari","","","","","","","Onset date of repeated vomiting","","","","","","","","","","","","","","","",""
34,"pqsym_14","ext_crypt_ari::pqsym_14","ext_crypt_ari","","","","","","","Onset date of wheezing/whistling in the chest","","","","","","","","","","","","","","","",""
10,"pqsym_2","ext_crypt_ari::pqsym_2","ext_crypt_ari","","","","","","","Onset date of cough","","","","","","","","","","","","","","","",""
12,"pqsym_3","ext_crypt_ari::pqsym_3","ext_crypt_ari","","","","","","","Onset date of drooling","","","","","","","","","","","","","","","",""
14,"pqsym_4","ext_crypt_ari::pqsym_4","ext_crypt_ari","","","","","","","Onset date of difficulty breathing","","","","","","","","","","","","","","","",""
16,"pqsym_5","ext_crypt_ari::pqsym_5","ext_crypt_ari","","","","","","","Onset date of noisy breathing","","","","","","","","","","","","","","","",""
18,"pqsym_6","ext_crypt_ari::pqsym_6","ext_crypt_ari","","","","","","","Onset date of chest indrawing when calm?","","","","","","","","","","","","","","","",""
20,"pqsym_7","ext_crypt_ari::pqsym_7","ext_crypt_ari","","","","","","","Onset date of runny nose","","","","","","","","","","","","","","","",""
22,"pqsym_8","ext_crypt_ari::pqsym_8","ext_crypt_ari","","","","","","","Onset data of aural discharge","","","","","","","","","","","","","","","",""
24,"pqsym_9","ext_crypt_ari::pqsym_9","ext_crypt_ari","","","","","","","Onset date of reluctant/unable to drink","","","","","","","","","","","","","","","",""
7,"pqx_1","ext_crypt_ari::pqx_1","ext_crypt_ari","","","","","","","Have subjective fever?","","","","","","","","","","","","","","","",""
25,"pqx_10","ext_crypt_ari::pqx_10","ext_crypt_ari","","","","","","","Have convulsion?","","","","","","","","","","","","","","","",""
27,"pqx_11","ext_crypt_ari::pqx_11","ext_crypt_ari","","","","","","","Have lethargy?","","","","","","","","","","","","","","","",""
29,"pqx_12","ext_crypt_ari::pqx_12","ext_crypt_ari","","","","","","","Have decreased activity?","","","","","","","","","","","","","","","",""
31,"pqx_13","ext_crypt_ari::pqx_13","ext_crypt_ari","","","","","","","Have repeated vomiting?","","","","","","","","","","","","","","","",""
33,"pqx_14","ext_crypt_ari::pqx_14","ext_crypt_ari","","","","","","","Have wheezing/whistling in the chest?","","","","","","","","","","","","","","","",""
9,"pqx_2","ext_crypt_ari::pqx_2","ext_crypt_ari","","","","","","","Have cough?","","","","","","","","","","","","","","","",""
11,"pqx_3","ext_crypt_ari::pqx_3","ext_crypt_ari","","","","","","","Have drooling","","","","","","","","","","","","","","","",""
13,"pqx_4","ext_crypt_ari::pqx_4","ext_crypt_ari","","","","","","","Have difficulty breathing","","","","","","","","","","","","","","","",""
15,"pqx_5","ext_crypt_ari::pqx_5","ext_crypt_ari","","","","","","","Have noisy breathing","","","","","","","","","","","","","","","",""
17,"pqx_6","ext_crypt_ari::pqx_6","ext_crypt_ari","","","","","","","Have chest indrawing when calm?","","","","","","","","","","","","","","","",""
19,"pqx_7","ext_crypt_ari::pqx_7","ext_crypt_ari","","","","","","","Have runny nose?","","","","","","","","","","","","","","","",""
21,"pqx_8","ext_crypt_ari::pqx_8","ext_crypt_ari","","","","","","","Have aural discharge?","","","","","","","","","","","","","","","",""
23,"pqx_9","ext_crypt_ari::pqx_9","ext_crypt_ari","","","","","","","Have the baby reluctant/unable to drink?","","","","","","","","","","","","","","","",""
2,"pyearno","ext_crypt_ari::pyearno","ext_crypt_ari","","","","","","","Year","","","","","","","","","","","","","","","",""
2,"doc","ext_crypt_ari_lab::doc","ext_crypt_ari_lab","","","","","","","Date of collection","","","","","","","","","","","","","","","",""
3,"influ_pcr","ext_crypt_ari_lab::influ_pcr","ext_crypt_ari_lab","","","","","","","PCR result for Influenza virus","","","","","","","","","","","","","","","",""
4,"rv_pcr","ext_crypt_ari_lab::rv_pcr","ext_crypt_ari_lab","","","","","","","PCR result for RV Panel","","","","","","","","","","","","","","","",""
4,"age","ext_crypt_bayleysc::age","ext_crypt_bayleysc","","","","","","","Age of child","","","","","","","","","","","","","","","",""
7,"cogcmp","ext_crypt_bayleysc::cogcmp","ext_crypt_bayleysc","","","","","","","4c. Cognitive composite score","","","","","","","","","","","","","","","",""
5,"cograw","ext_crypt_bayleysc::cograw","ext_crypt_bayleysc","","","","","","","4a. Cognitive raw score","","","","","","","","","","","","","","","",""
6,"cogscale","ext_crypt_bayleysc::cogscale","ext_crypt_bayleysc","","","","","","","4b. Cognitive scaled score","","","","","","","","","","","","","","","",""
3,"date","ext_crypt_bayleysc::date","ext_crypt_bayleysc","","","","","","","3. Date of measurement","","","","","","","","","","","","","","","",""
14,"fmotoraw","ext_crypt_bayleysc::fmotoraw","ext_crypt_bayleysc","","","","","","","6a. Fine motor raw score","","","","","","","","","","","","","","","",""
15,"fmotoscal","ext_crypt_bayleysc::fmotoscal","ext_crypt_bayleysc","","","","","","","6b. Fine motor scaled score","","","","","","","","","","","","","","","",""
16,"gmotoraw","ext_crypt_bayleysc::gmotoraw","ext_crypt_bayleysc","","","","","","","6c. Gross motor raw score","","","","","","","","","","","","","","","",""
17,"gmotoscal","ext_crypt_bayleysc::gmotoscal","ext_crypt_bayleysc","","","","","","","6d. Gross motor scaled score","","","","","","","","","","","","","","","",""
10,"laexpraw","ext_crypt_bayleysc::laexpraw","ext_crypt_bayleysc","","","","","","","5c. Expressive communication raw score","","","","","","","","","","","","","","","",""
11,"laexpscal","ext_crypt_bayleysc::laexpscal","ext_crypt_bayleysc","","","","","","","5d. Expressive communication scaled score","","","","","","","","","","","","","","","",""
13,"langcmp","ext_crypt_bayleysc::langcmp","ext_crypt_bayleysc","","","","","","","5f. Language composite score","","","","","","","","","","","","","","","",""
12,"langscal","ext_crypt_bayleysc::langscal","ext_crypt_bayleysc","","","","","","","5e. Language  scaled sum","","","","","","","","","","","","","","","",""
8,"larcraw","ext_crypt_bayleysc::larcraw","ext_crypt_bayleysc","","","","","","","5a. Receptive communication raw score","","","","","","","","","","","","","","","",""
9,"larcscal","ext_crypt_bayleysc::larcscal","ext_crypt_bayleysc","","","","","","","5b. Receptive communication scaled score","","","","","","","","","","","","","","","",""
19,"motocmp","ext_crypt_bayleysc::motocmp","ext_crypt_bayleysc","","","","","","","6f. Motor composite score","","","","","","","","","","","","","","","",""
18,"motoscal","ext_crypt_bayleysc::motoscal","ext_crypt_bayleysc","","","","","","","6e. Motor scaled sum","","","","","","","","","","","","","","","",""
2,"vnum","ext_crypt_bayleysc::vnum","ext_crypt_bayleysc","","","","","","","1. Visit number","","","","","","","","","","","","","","","",""
26,"aa","ext_crypt_cs_bml::aa","ext_crypt_cs_bml","","","","","","","Arachidonic","","","","","","","","","","","","","","","",""
22,"ala","ext_crypt_cs_bml::ala","ext_crypt_cs_bml","","","","","","","alpha-Linolenic","","","","","","","","","","","","","","","",""
19,"ara","ext_crypt_cs_bml::ara","ext_crypt_cs_bml","","","","","","","Arachidic","","","","","","","","","","","","","","","",""
24,"beh","ext_crypt_cs_bml::beh","ext_crypt_cs_bml","","","","","","","Behenic","","","","","","","","","","","","","","","",""
8,"cap","ext_crypt_cs_bml::cap","ext_crypt_cs_bml","","","","","","","Capric","","","","","","","","","","","","","","","",""
25,"dgla","ext_crypt_cs_bml::dgla","ext_crypt_cs_bml","","","","","","","Dihomo-g-linolenic","","","","","","","","","","","","","","","",""
33,"dha","ext_crypt_cs_bml::dha","ext_crypt_cs_bml","","","","","","","Docosahexaenoic","","","","","","","","","","","","","","","",""
6,"doc","ext_crypt_cs_bml::doc","ext_crypt_cs_bml","","","","","","","Date Sample collected","","","","","","","","","","","","","","","",""
32,"dpa","ext_crypt_cs_bml::dpa","ext_crypt_cs_bml","","","","","","","Docosapentaenoic - n3","","","","","","","","","","","","","","","",""
31,"dpa6","ext_crypt_cs_bml::dpa6","ext_crypt_cs_bml","","","","","","","Docosapentaenoic - n6","","","","","","","","","","","","","","","",""
30,"dta","ext_crypt_cs_bml::dta","ext_crypt_cs_bml","","","","","","","Docosatetraenoic","","","","","","","","","","","","","","","",""
23,"eda","ext_crypt_cs_bml::eda","ext_crypt_cs_bml","","","","","","","Eicosadienoic","","","","","","","","","","","","","","","",""
21,"eic9","ext_crypt_cs_bml::eic9","ext_crypt_cs_bml","","","","","","","Eicosenoic","","","","","","","","","","","","","","","",""
15,"ela","ext_crypt_cs_bml::ela","ext_crypt_cs_bml","","","","","","","Elaidic","","","","","","","","","","","","","","","",""
28,"epa","ext_crypt_cs_bml::epa","ext_crypt_cs_bml","","","","","","","Eicosapentaenoic","","","","","","","","","","","","","","","",""
20,"gla","ext_crypt_cs_bml::gla","ext_crypt_cs_bml","","","","","","","gamma-Linolenic","","","","","","","","","","","","","","","",""
18,"la","ext_crypt_cs_bml::la","ext_crypt_cs_bml","","","","","","","Linoleic","","","","","","","","","","","","","","","",""
9,"lau","ext_crypt_cs_bml::lau","ext_crypt_cs_bml","","","","","","","Lauric","","","","","","","","","","","","","","","",""
27,"lig","ext_crypt_cs_bml::lig","ext_crypt_cs_bml","","","","","","","Lignoceric","","","","","","","","","","","","","","","",""
17,"lla","ext_crypt_cs_bml::lla","ext_crypt_cs_bml","","","","","","","Linoelaidic","","","","","","","","","","","","","","","",""
10,"myr","ext_crypt_cs_bml::myr","ext_crypt_cs_bml","","","","","","","Myristic","","","","","","","","","","","","","","","",""
29,"ner","ext_crypt_cs_bml::ner","ext_crypt_cs_bml","","","","","","","Nervonic","","","","","","","","","","","","","","","",""
16,"ole","ext_crypt_cs_bml::ole","ext_crypt_cs_bml","","","","","","","Oleic","","","","","","","","","","","","","","","",""
11,"pal","ext_crypt_cs_bml::pal","ext_crypt_cs_bml","","","","","","","Palmitic","","","","","","","","","","","","","","","",""
12,"pla","ext_crypt_cs_bml::pla","ext_crypt_cs_bml","","","","","","","Palmitelaidic","","","","","","","","","","","","","","","",""
13,"ple","ext_crypt_cs_bml::ple","ext_crypt_cs_bml","","","","","","","Palmitoleic","","","","","","","","","","","","","","","",""
2,"site","ext_crypt_cs_bml::site","ext_crypt_cs_bml","","","","","","","Site","","","","","","","","","","","","","","","",""
3,"specnum","ext_crypt_cs_bml::specnum","ext_crypt_cs_bml","","","","","","","Specimen number","","","","","","","","","","","","","","","",""
5,"specseq","ext_crypt_cs_bml::specseq","ext_crypt_cs_bml","","","","","","","Specimen sequence","","","","","","","","","","","","","","","",""
4,"spectype","ext_crypt_cs_bml::spectype","ext_crypt_cs_bml","","","","","","","Specimen type","","","","","","","","","","","","","","","",""
14,"ste","ext_crypt_cs_bml::ste","ext_crypt_cs_bml","","","","","","","Stearic","","","","","","","","","","","","","","","",""
6,"aged","ext_crypt_cs_calp::aged","ext_crypt_cs_calp","","","","","","","Age in Days","","","","","","","","","","","","","","","",""
9,"cal","ext_crypt_cs_calp::cal","ext_crypt_cs_calp","","","","","","","CRP (mg/L)","","","","","","","","","","","","","","","",""
2,"site","ext_crypt_cs_calp::site","ext_crypt_cs_calp","","","","","","","Site","","","","","","","","","","","","","","","",""
7,"specdt","ext_crypt_cs_calp::specdt","ext_crypt_cs_calp","","","","","","","Specimen collection date","","","","","","","","","","","","","","","",""
3,"specnum","ext_crypt_cs_calp::specnum","ext_crypt_cs_calp","","","","","","","Specimen number","","","","","","","","","","","","","","","",""
5,"specseq","ext_crypt_cs_calp::specseq","ext_crypt_cs_calp","","","","","","","Specimen sequence","","","","","","","","","","","","","","","",""
4,"spectype","ext_crypt_cs_calp::spectype","ext_crypt_cs_calp","","","","","","","Specimen type","","","","","","","","","","","","","","","",""
6,"aged","ext_crypt_cs_cp17_fecal_iga::aged","ext_crypt_cs_cp17_fecal_iga","","","","","","","Age in Days","","","","","","","","","","","","","","","",""
9,"cp17od","ext_crypt_cs_cp17_fecal_iga::cp17od","ext_crypt_cs_cp17_fecal_iga","","","","","","","Crypto Stool CP17 IgA OD at 405nm","","","","","","","","","","","","","","","",""
2,"site","ext_crypt_cs_cp17_fecal_iga::site","ext_crypt_cs_cp17_fecal_iga","","","","","","","Site","","","","","","","","","","","","","","","",""
7,"specdt","ext_crypt_cs_cp17_fecal_iga::specdt","ext_crypt_cs_cp17_fecal_iga","","","","","","","Date of specimen collection","","","","","","","","","","","","","","","",""
3,"specnum","ext_crypt_cs_cp17_fecal_iga::specnum","ext_crypt_cs_cp17_fecal_iga","","","","","","","Specimen number","","","","","","","","","","","","","","","",""
5,"specseq","ext_crypt_cs_cp17_fecal_iga::specseq","ext_crypt_cs_cp17_fecal_iga","","","","","","","Specimen sequence","","","","","","","","","","","","","","","",""
4,"spectype","ext_crypt_cs_cp17_fecal_iga::spectype","ext_crypt_cs_cp17_fecal_iga","","","","","","","Specimen type","","","","","","","","","","","","","","","",""
6,"aged","ext_crypt_cs_cp17_plasma_igg::aged","ext_crypt_cs_cp17_plasma_igg","","","","","","","Age in Days","","","","","","","","","","","","","","","",""
10,"cp17conc","ext_crypt_cs_cp17_plasma_igg::cp17conc","ext_crypt_cs_cp17_plasma_igg","","","","","","","Cp17 IgG ELISA ConC AU/µl","","","","","","","","","","","","","","","",""
9,"cp17od","ext_crypt_cs_cp17_plasma_igg::cp17od","ext_crypt_cs_cp17_plasma_igg","","","","","","","Cp17 IgG ELISA OD at 405nm","","","","","","","","","","","","","","","",""
2,"site","ext_crypt_cs_cp17_plasma_igg::site","ext_crypt_cs_cp17_plasma_igg","","","","","","","Site","","","","","","","","","","","","","","","",""
7,"specdt","ext_crypt_cs_cp17_plasma_igg::specdt","ext_crypt_cs_cp17_plasma_igg","","","","","","","Date of Specimen Collection","","","","","","","","","","","","","","","",""
3,"specnum","ext_crypt_cs_cp17_plasma_igg::specnum","ext_crypt_cs_cp17_plasma_igg","","","","","","","Specimen number","","","","","","","","","","","","","","","",""
5,"specseq","ext_crypt_cs_cp17_plasma_igg::specseq","ext_crypt_cs_cp17_plasma_igg","","","","","","","Specimen sequence","","","","","","","","","","","","","","","",""
4,"spectype","ext_crypt_cs_cp17_plasma_igg::spectype","ext_crypt_cs_cp17_plasma_igg","","","","","","","Specimen type","","","","","","","","","","","","","","","",""
6,"aged","ext_crypt_cs_cp23_fecal_iga::aged","ext_crypt_cs_cp23_fecal_iga","","","","","","","Age in Days","","","","","","","","","","","","","","","",""
9,"cp23od","ext_crypt_cs_cp23_fecal_iga::cp23od","ext_crypt_cs_cp23_fecal_iga","","","","","","","Crypto Stool Cp23 IgA OD at 405nm","","","","","","","","","","","","","","","",""
2,"site","ext_crypt_cs_cp23_fecal_iga::site","ext_crypt_cs_cp23_fecal_iga","","","","","","","Site","","","","","","","","","","","","","","","",""
7,"specdt","ext_crypt_cs_cp23_fecal_iga::specdt","ext_crypt_cs_cp23_fecal_iga","","","","","","","Date of specimen collection","","","","","","","","","","","","","","","",""
3,"specnum","ext_crypt_cs_cp23_fecal_iga::specnum","ext_crypt_cs_cp23_fecal_iga","","","","","","","Specimen number","","","","","","","","","","","","","","","",""
5,"specseq","ext_crypt_cs_cp23_fecal_iga::specseq","ext_crypt_cs_cp23_fecal_iga","","","","","","","Specimen sequence","","","","","","","","","","","","","","","",""
4,"spectype","ext_crypt_cs_cp23_fecal_iga::spectype","ext_crypt_cs_cp23_fecal_iga","","","","","","","Specimen type","","","","","","","","","","","","","","","",""
6,"aged","ext_crypt_cs_cp23_plasma_igg::aged","ext_crypt_cs_cp23_plasma_igg","","","","","","","Age in Days","","","","","","","","","","","","","","","",""
10,"cp23conc","ext_crypt_cs_cp23_plasma_igg::cp23conc","ext_crypt_cs_cp23_plasma_igg","","","","","","","Cp23 IgG ELISA ConC AU/µl","","","","","","","","","","","","","","","",""
9,"cp23od","ext_crypt_cs_cp23_plasma_igg::cp23od","ext_crypt_cs_cp23_plasma_igg","","","","","","","Cp23 IgG ELISA OD at 405nm","","","","","","","","","","","","","","","",""
2,"site","ext_crypt_cs_cp23_plasma_igg::site","ext_crypt_cs_cp23_plasma_igg","","","","","","","Site","","","","","","","","","","","","","","","",""
7,"specdt","ext_crypt_cs_cp23_plasma_igg::specdt","ext_crypt_cs_cp23_plasma_igg","","","","","","","Date of Specimen Collection","","","","","","","","","","","","","","","",""
3,"specnum","ext_crypt_cs_cp23_plasma_igg::specnum","ext_crypt_cs_cp23_plasma_igg","","","","","","","Specimen number","","","","","","","","","","","","","","","",""
5,"specseq","ext_crypt_cs_cp23_plasma_igg::specseq","ext_crypt_cs_cp23_plasma_igg","","","","","","","Specimen sequence","","","","","","","","","","","","","","","",""
4,"spectype","ext_crypt_cs_cp23_plasma_igg::spectype","ext_crypt_cs_cp23_plasma_igg","","","","","","","Specimen type","","","","","","","","","","","","","","","",""
2,"crem_rs2148483_a","ext_crypt_cs_crem_prkca::crem_rs2148483_a","ext_crypt_cs_crem_prkca","","","","","","","The genotype for the top EH-associated SNP in CREM. This is in an additive format for the minor (risk) allele. Therefore: 0=GG, 1=AG, 2=AA, NA=missing.","","","","","","","","","","","","","","","",""
3,"prkca_rs58296998_t","ext_crypt_cs_crem_prkca::prkca_rs58296998_t","ext_crypt_cs_crem_prkca","","","","","","","The genotype for the top cryptosporidium-associated SNP in PRKCA. This is in an additive format for the minor (risk) allele. Therefore: 0=CC, 1=CT, 2=TT, NA=missing.","","","","","","","","","","","","","","","",""
6,"aged","ext_crypt_cs_crp::aged","ext_crypt_cs_crp","","","","","","","Age in Days","","","","","","","","","","","","","","","",""
9,"crp","ext_crypt_cs_crp::crp","ext_crypt_cs_crp","","","","","","","CRP (mg/L)","","","","","","","","","","","","","","","",""
10,"rept","ext_crypt_cs_crp::rept","ext_crypt_cs_crp","","","","","","","Do you need to Repeat Sample?","","","","","","","","","","","","","","","",""
11,"resn","ext_crypt_cs_crp::resn","ext_crypt_cs_crp","","","","","","","Reason for repeating","","","","","","","","","","","","","","","",""
2,"site","ext_crypt_cs_crp::site","ext_crypt_cs_crp","","","","","","","Site","","","","","","","","","","","","","","","",""
7,"specdt","ext_crypt_cs_crp::specdt","ext_crypt_cs_crp","","","","","","","Specimen collection date","","","","","","","","","","","","","","","",""
3,"specnum","ext_crypt_cs_crp::specnum","ext_crypt_cs_crp","","","","","","","Specimen number","","","","","","","","","","","","","","","",""
5,"specseq","ext_crypt_cs_crp::specseq","ext_crypt_cs_crp","","","","","","","Specimen sequence","","","","","","","","","","","","","","","",""
4,"spectype","ext_crypt_cs_crp::spectype","ext_crypt_cs_crp","","","","","","","Specimen type","","","","","","","","","","","","","","","",""
6,"aged","ext_crypt_cs_cytcp::aged","ext_crypt_cs_cytcp","","","","","","","Age in Days","","","","","","","","","","","","","","","",""
20,"gcsf","ext_crypt_cs_cytcp::gcsf","ext_crypt_cs_cytcp","","","","","","","Granulocyte Colony-Stimulating Factor  Conc  (pg/ml)","","","","","","","","","","","","","","","",""
21,"gmcsf","ext_crypt_cs_cytcp::gmcsf","ext_crypt_cs_cytcp","","","","","","","Granulocyte-macrophage colony-stimulating factor Conc (pg/ml)","","","","","","","","","","","","","","","",""
22,"ifng","ext_crypt_cs_cytcp::ifng","ext_crypt_cs_cytcp","","","","","","","Gamma Interferon Conc (pg/ml)","","","","","","","","","","","","","","","",""
16,"il10","ext_crypt_cs_cytcp::il10","ext_crypt_cs_cytcp","","","","","","","IL-10 Conc (pg/ml) 0.00= below detectable limit","","","","","","","","","","","","","","","",""
17,"il12p70","ext_crypt_cs_cytcp::il12p70","ext_crypt_cs_cytcp","","","","","","","IL-12p70 Conc (pg/ml)","","","","","","","","","","","","","","","",""
18,"il13","ext_crypt_cs_cytcp::il13","ext_crypt_cs_cytcp","","","","","","","IL-13 Conc (pg/ml)","","","","","","","","","","","","","","","",""
19,"il17a","ext_crypt_cs_cytcp::il17a","ext_crypt_cs_cytcp","","","","","","","IL-17A Conc (pg/ml)","","","","","","","","","","","","","","","",""
9,"il1b","ext_crypt_cs_cytcp::il1b","ext_crypt_cs_cytcp","","","","","","","Interleukin-1_ Conc (pg/ml)","","","","","","","","","","","","","","","",""
10,"il2","ext_crypt_cs_cytcp::il2","ext_crypt_cs_cytcp","","","","","","","IL-2 Conc (pg/ml)","","","","","","","","","","","","","","","",""
11,"il4","ext_crypt_cs_cytcp::il4","ext_crypt_cs_cytcp","","","","","","","IL-4 Conc (pg/ml)","","","","","","","","","","","","","","","",""
12,"il5","ext_crypt_cs_cytcp::il5","ext_crypt_cs_cytcp","","","","","","","IL-5 Conc (pg/ml)","","","","","","","","","","","","","","","",""
13,"il6","ext_crypt_cs_cytcp::il6","ext_crypt_cs_cytcp","","","","","","","IL-6 Conc (pg/ml) 0.00= below detectable limit","","","","","","","","","","","","","","","",""
14,"il7","ext_crypt_cs_cytcp::il7","ext_crypt_cs_cytcp","","","","","","","IL-7 Conc (pg/ml)","","","","","","","","","","","","","","","",""
15,"il8","ext_crypt_cs_cytcp::il8","ext_crypt_cs_cytcp","","","","","","","IL-8 Conc (pg/ml)","","","","","","","","","","","","","","","",""
23,"mcp1","ext_crypt_cs_cytcp::mcp1","ext_crypt_cs_cytcp","","","","","","","Monocyte Chemoattractant Protein 1 (MCP-1(MCAF)) Conc (pg/mL)","","","","","","","","","","","","","","","",""
24,"mip1b","ext_crypt_cs_cytcp::mip1b","ext_crypt_cs_cytcp","","","","","","","Macrophage Inflammatory Protein 1_ Conc  (pg/mL)","","","","","","","","","","","","","","","",""
2,"site","ext_crypt_cs_cytcp::site","ext_crypt_cs_cytcp","","","","","","","Site","","","","","","","","","","","","","","","",""
7,"specdt","ext_crypt_cs_cytcp::specdt","ext_crypt_cs_cytcp","","","","","","","Date of Specimen Collection dd/mm/yy","","","","","","","","","","","","","","","",""
3,"specnum","ext_crypt_cs_cytcp::specnum","ext_crypt_cs_cytcp","","","","","","","Specimen number","","","","","","","","","","","","","","","",""
5,"specseq","ext_crypt_cs_cytcp::specseq","ext_crypt_cs_cytcp","","","","","","","Specimen sequence","","","","","","","","","","","","","","","",""
4,"spectype","ext_crypt_cs_cytcp::spectype","ext_crypt_cs_cytcp","","","","","","","Specimen type","","","","","","","","","","","","","","","",""
25,"tnfa","ext_crypt_cs_cytcp::tnfa","ext_crypt_cs_cytcp","","","","","","","Tumor Necrosis Factor alpha Conc (pg/ml)","","","","","","","","","","","","","","","",""
8,"assydt","ext_crypt_cs_cytmp::assydt","ext_crypt_cs_cytmp","","","","","","","Date Assay Performed dd/mm/yy","","","","","","","","","","","","","","","",""
20,"gcsf","ext_crypt_cs_cytmp::gcsf","ext_crypt_cs_cytmp","","","","","","","Granulocyte Colony-Stimulating Factor  Conc  (pg/ml)","","","","","","","","","","","","","","","",""
21,"gmcsf","ext_crypt_cs_cytmp::gmcsf","ext_crypt_cs_cytmp","","","","","","","Granulocyte-macrophage colony-stimulating factor Conc (pg/ml)","","","","","","","","","","","","","","","",""
22,"ifng","ext_crypt_cs_cytmp::ifng","ext_crypt_cs_cytmp","","","","","","","Gamma Interferon Conc (pg/ml)","","","","","","","","","","","","","","","",""
16,"il10","ext_crypt_cs_cytmp::il10","ext_crypt_cs_cytmp","","","","","","","IL-10 Conc (pg/ml) 0.00= below detectable limit","","","","","","","","","","","","","","","",""
17,"il12p70","ext_crypt_cs_cytmp::il12p70","ext_crypt_cs_cytmp","","","","","","","IL-12p70 Conc (pg/ml)","","","","","","","","","","","","","","","",""
18,"il13","ext_crypt_cs_cytmp::il13","ext_crypt_cs_cytmp","","","","","","","IL-13 Conc (pg/ml)","","","","","","","","","","","","","","","",""
19,"il17a","ext_crypt_cs_cytmp::il17a","ext_crypt_cs_cytmp","","","","","","","IL-17A Conc (pg/ml)","","","","","","","","","","","","","","","",""
9,"il1b","ext_crypt_cs_cytmp::il1b","ext_crypt_cs_cytmp","","","","","","","Interleukin-1_ Conc (pg/ml)","","","","","","","","","","","","","","","",""
10,"il2","ext_crypt_cs_cytmp::il2","ext_crypt_cs_cytmp","","","","","","","IL-2 Conc (pg/ml)","","","","","","","","","","","","","","","",""
11,"il4","ext_crypt_cs_cytmp::il4","ext_crypt_cs_cytmp","","","","","","","IL-4 Conc (pg/ml)","","","","","","","","","","","","","","","",""
12,"il5","ext_crypt_cs_cytmp::il5","ext_crypt_cs_cytmp","","","","","","","IL-5 Conc (pg/ml)","","","","","","","","","","","","","","","",""
13,"il6","ext_crypt_cs_cytmp::il6","ext_crypt_cs_cytmp","","","","","","","IL-6 Conc (pg/ml) 0.00= below detectable limit","","","","","","","","","","","","","","","",""
14,"il7","ext_crypt_cs_cytmp::il7","ext_crypt_cs_cytmp","","","","","","","IL-7 Conc (pg/ml)","","","","","","","","","","","","","","","",""
15,"il8","ext_crypt_cs_cytmp::il8","ext_crypt_cs_cytmp","","","","","","","IL-8 Conc (pg/ml)","","","","","","","","","","","","","","","",""
