category	dataFile	id
participant_repeated_measures	ext_crypto_cr_ter_3000	{{prm}}+pid+doi
household	ext_crypto_cscr_2000	{{h}}+pid
participant	ext_crypto_cscr_2000	{{p}}+pid
household	ext_crypto_cscr_3000	{{h}}+pid
participant	ext_crypto_cscr_3000	{{p}}+pid
household	ext_crypto_ds_rt_2000	{{h}}+pid
participant	ext_crypto_ds_rt_2000	{{p}}+pid
participant_repeated_measures	ext_crypto_ds_rt_2000	{{prm}}+pid+doc
samples	ext_crypto_ds_rt_2000	{{s}}+pid+doc
household	ext_crypto_ds_rt_3000	{{h}}+pid
participant	ext_crypto_ds_rt_3000	{{p}}+pid
participant_repeated_measures	ext_crypto_ds_rt_3000	{{prm}}+pid+doc
samples	ext_crypto_ds_rt_3000	{{s}}+pid+doc
household	ext_crypto_dsmicro_2000	{{h}}+pid
participant	ext_crypto_dsmicro_2000	{{p}}+pid
participant_repeated_measures	ext_crypto_dsmicro_2000	{{prm}}+pid+doc
samples	ext_crypto_dsmicro_2000	{{s}}+pid+doc
household	ext_crypto_dsmicro_3000	{{h}}+pid
participant	ext_crypto_dsmicro_3000	{{p}}+pid
participant_repeated_measures	ext_crypto_dsmicro_3000	{{prm}}+pid+doc
samples	ext_crypto_dsmicro_3000	{{s}}+pid+doc
household	ext_crypto_enr7mo_3000	{{h}}+pid
participant	ext_crypto_enr7mo_3000	{{p}}+pid
participant_repeated_measures	ext_crypto_enr7mo_3000	{{prm}}+pid+doc
household	ext_crypto_manthro_2000	{{h}}+pid
participant	ext_crypto_manthro_2000	{{p}}+pid
participant_repeated_measures	ext_crypto_manthro_2000	{{prm}}+pid+doc
household	ext_crypto_manthro_3000	{{h}}+pid
participant	ext_crypto_manthro_3000	{{p}}+pid
participant_repeated_measures	ext_crypto_manthro_3000	{{prm}}+pid+doc
household	ext_crypto_menr_2000	{{h}}+pid
participant	ext_crypto_menr_2000	{{p}}+pid
participant_repeated_measures	ext_crypto_menr_2000	{{prm}}+pid+doe
household	ext_crypto_mgmt_cranthz_2000	{{h}}+pid
participant	ext_crypto_mgmt_cranthz_2000	{{p}}+pid
participant_repeated_measures	ext_crypto_mgmt_cranthz_2000	{{prm}}+pid+doc
household	ext_crypto_mgmt_cranthz_3000	{{h}}+pid
participant	ext_crypto_mgmt_cranthz_3000	{{p}}+pid
participant_repeated_measures	ext_crypto_mgmt_cranthz_3000	{{prm}}+pid+doc
participant	ext_crypto_mgmt_diarepi_dur_2000	{{prm}}+pid
participant_repeated_measures	ext_crypto_mgmt_diarepi_dur_2000	{{prm}}+
participant	ext_crypto_mgmt_diarepi_dur_3000	{{prm}}+pid
participant_repeated_measures	ext_crypto_mgmt_diarepi_dur_3000	{{prm}}+
household	ext_crypto_ms_rt_2000	{{h}}+pid
participant	ext_crypto_ms_rt_2000	{{p}}+pid
participant_repeated_measures	ext_crypto_ms_rt_2000	{{prm}}+pid+doc
samples	ext_crypto_ms_rt_2000	{{s}}+pid+doc
household	ext_crypto_ms_rt_3000	{{h}}+pid
