variable	variable2	values	mappedTerm
rec_homemade	hucs_gambia_mali::rec_homemade	1	Selected
rec_ors	hucs_gambia_mali::rec_ors	.	Missing
rec_ors	hucs_gambia_mali::rec_ors	1	At home
rec_ors	hucs_gambia_mali::rec_ors	2	At the health center
rec_ors	hucs_gambia_mali::rec_ors	3	Both
rec_trad	hucs_gambia_mali::rec_trad	.	Missing
rec_trad	hucs_gambia_mali::rec_trad	1	Selected
rec_zinc	hucs_gambia_mali::rec_zinc	.	Missing
rec_zinc	hucs_gambia_mali::rec_zinc	1	At home
rec_zinc	hucs_gambia_mali::rec_zinc	2	At the health center
no_treatment	hucs_gambia_mali::no_treatment	.	Missing
no_treatment	hucs_gambia_mali::no_treatment	0	Not selected
no_treatment	hucs_gambia_mali::no_treatment	1	Selected
rec_vax	hucs_gambia_mali::rec_vax	.	Missing
rec_vax	hucs_gambia_mali::rec_vax	0	No
rec_vax	hucs_gambia_mali::rec_vax	1	Yes
vax_card	hucs_gambia_mali::vax_card	.	Missing
vax_card	hucs_gambia_mali::vax_card	0	No
vax_card	hucs_gambia_mali::vax_card	1	Yes
dpt1	hucs_gambia_mali::dpt1	.	Missing
dpt1	hucs_gambia_mali::dpt1	0	No
dpt1	hucs_gambia_mali::dpt1	1	Yes
dpt1	hucs_gambia_mali::dpt1	9	Don't know
dpt1_dk	hucs_gambia_mali::dpt1_dk	.	Missing
dpt1_dk	hucs_gambia_mali::dpt1_dk	1	Yes
dpt2	hucs_gambia_mali::dpt2	.	Missing
dpt2	hucs_gambia_mali::dpt2	0	No
dpt2	hucs_gambia_mali::dpt2	1	Yes
dpt2	hucs_gambia_mali::dpt2	9	Don't know
dpt2_dk	hucs_gambia_mali::dpt2_dk	.	Missing
dpt2_dk	hucs_gambia_mali::dpt2_dk	1	Yes
dpt3	hucs_gambia_mali::dpt3	.	Missing
dpt3	hucs_gambia_mali::dpt3	0	No
dpt3	hucs_gambia_mali::dpt3	1	Yes
dpt3	hucs_gambia_mali::dpt3	9	Don't know
dpt3_dk	hucs_gambia_mali::dpt3_dk	.	Missing	
dpt3_dk	hucs_gambia_mali::dpt3_dk	1	Yes
dpt_type	hucs_gambia_mali::dpt_type	.	Missing
dpt_type	hucs_gambia_mali::dpt_type	1	DPT
dpt_type	hucs_gambia_mali::dpt_type	2	Pentavalent
dpt_type	hucs_gambia_mali::dpt_type	3	Don't know
rot1	hucs_gambia_mali::rot1	.	Missing
rot1	hucs_gambia_mali::rot1	0	No
rot1	hucs_gambia_mali::rot1	1	Yes
rot1	hucs_gambia_mali::rot1	9	Don't know
rot1_dk	hucs_gambia_mali::rot1_dk	.	Missing	
rot1_dk	hucs_gambia_mali::rot1_dk	1	Yes
rot2	hucs_gambia_mali::rot2	.	Missing
rot2	hucs_gambia_mali::rot2	0	No
rot2	hucs_gambia_mali::rot2	1	Yes
rot2	hucs_gambia_mali::rot2	9	Don't know
rot2_dk	hucs_gambia_mali::rot2_dk	.	Missing
rot2_dk	hucs_gambia_mali::rot2_dk	1	Yes
rot3	hucs_gambia_mali::rot3	.	Missing
rot3	hucs_gambia_mali::rot3	0	No
rot3	hucs_gambia_mali::rot3	1	Yes
rot3	hucs_gambia_mali::rot3	9	Don't know
rot3_dk	hucs_gambia_mali::rot3_dk	.	Missing
rot3_dk	hucs_gambia_mali::rot3_dk	1	Yes
opv1	hucs_gambia_mali::opv1	.	Missing
opv1	hucs_gambia_mali::opv1	0	No
opv1	hucs_gambia_mali::opv1	1	Yes
opv1	hucs_gambia_mali::opv1	9	Don't know
opv1_dk	hucs_gambia_mali::opv1_dk	.	Missing
opv1_dk	hucs_gambia_mali::opv1_dk	1	Yes
opv2	hucs_gambia_mali::opv2	.	Missing
opv2	hucs_gambia_mali::opv2	0	No
opv2	hucs_gambia_mali::opv2	1	Yes
opv2	hucs_gambia_mali::opv2	9	Don't know
opv2_dk	hucs_gambia_mali::opv2_dk	.	Missing
opv2_dk	hucs_gambia_mali::opv2_dk	1	Yes
opv3	hucs_gambia_mali::opv3	.	Missing
opv3	hucs_gambia_mali::opv3	0	No
opv3	hucs_gambia_mali::opv3	1	Yes
opv3	hucs_gambia_mali::opv3	9	Don't know
opv3_dk	hucs_gambia_mali::opv3_dk	.	Missing
opv3_dk	hucs_gambia_mali::opv3_dk	1	Yes
ipv1	hucs_gambia_mali::ipv1	.	Missing
ipv1	hucs_gambia_mali::ipv1	0	No
ipv1	hucs_gambia_mali::ipv1	1	Yes
ipv1	hucs_gambia_mali::ipv1	9	Don't know
ipv1_dk	hucs_gambia_mali::ipv1_dk	.	Missing
ipv1_dk	hucs_gambia_mali::ipv1_dk	1	Yes
ipv2	hucs_gambia_mali::ipv2	.	Missing
ipv2	hucs_gambia_mali::ipv2	0	No
ipv2	hucs_gambia_mali::ipv2	1	Yes
ipv2	hucs_gambia_mali::ipv2	9	Don't know
ipv3	hucs_gambia_mali::ipv3	.	Missing
ipv3	hucs_gambia_mali::ipv3	0	No
ipv3	hucs_gambia_mali::ipv3	1	Yes
ipv3	hucs_gambia_mali::ipv3	9	Don't know
agegroup	hucs_gambia_mali::agegroup	1	
agegroup	hucs_gambia_mali::agegroup	2	
agegroup	hucs_gambia_mali::agegroup	3	
round	hucs_gambia_mali::round	1	Round 1
round	hucs_gambia_mali::round	2	Round 2
round	hucs_gambia_mali::round	3	Round 3
round	hucs_gambia_mali::round	4	Round 4
round	hucs_gambia_mali::round	5	Round 5
round	hucs_gambia_mali::round	6	Round 6
round	hucs_gambia_mali::round	7	Round 7
site_split	hucs_gambia_mali::site_split	1	The Gambia Basse
site_split	hucs_gambia_mali::site_split	2	Mali 
site_split	hucs_gambia_mali::site_split	4	The Gambia Bansang
vax_source	hucs_gambia_mali::vax_source	.	Missing
vax_source	hucs_gambia_mali::vax_source	0	No
vax_source	hucs_gambia_mali::vax_source	1	Yes, DSS
vax_source	hucs_gambia_mali::vax_source	2	Yes, RVS
vax_source	hucs_gambia_mali::vax_source	3	Yes, Other
