IRI,termType
EUPATH_0024012,multifilter
EUPATH_0000144,multifilter
EUPATH_0024051,multifilter
EUPATH_0024081,multifilter
EUPATH_0024067,multifilter
EUPATH_0024032,multifilter
OBI_0001169,"variable, derived"
EUPATH_0024141,multifilter
EUPATH_0024158,multifilter
EUPATH_0024179,multifilter
EUPATH_0024011,multifilter
EUPATH_0024095,multifilter
EUPATH_0024205,multifilter
EUPATH_0024198,multifilter
EUPATH_0024114,multifilter
EUPATH_0024104,multifilter
